...1,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,dem_poll_avg,dem_effn,rep_poll_avg,rep_effn,seat_number,prev_lean,prev2_lean,generic_ballot_avg,pres_approval_avg,incumbent_pres,ics,pres_approval_avg_x_incpres,ics_x_incpres,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,census_region,dem_scandal_score,rep_scandal_score,Year,Geography,dem_stand,rep_stand,dem_funds_2p_pct_sqrd,effn,sqrt_effn,poll_margin,y_pred,y_act,y_pred_sd,fund_chances,abs_err,err,z,in_95_ci,in_68_ci,index,district_id
1213,2024,Arizona,AZ,FALSE,AZ-06,204774,215596,431220,Kirsten Engel,Juan Ciscomani,False,True,6839057.76,3626926.69,420370,48.71280062801818,51.28719937198183,6839057.76,3626926.69,10465984.45,65.34557539878631,34.6544246012137,43.866638374064365,1.73,43.18670627630989,1.73,6,-2.2330459068923503,-3.951884216093056,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,68.78801247912268,2.793149087700501,21.19922478177292,3.3941007783695207,0.7504805722749188,38,FALSE,FALSE,FALSE,TRUE,0,1,-2.6627554841925267,Mountain,0,0,2024,AZ-06,Kirsten Engel,Juan Ciscomani,4270.0442241984665,1.73,1.3152946437965904,-0.6799320977544738,48.35298777769151,48.71280062801818,1.468303688873624,13.095,0.3598128503266693,-0.3598128503266693,-0.2450534266536452,TRUE,TRUE,11,AZ06
1214,2024,Arizona,AZ,FALSE,AZ-07,171954,99057,271011,Raul Grijalva,Daniel Butierez,True,False,474597.04,31011.47,271011,63.449085092487024,36.550914907512976,474597.04,31011.47,505608.51,93.86650553013833,6.133494469861672,0,0,0,0,7,14.362636693903234,16.896250020002547,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,37.2926915580427,1.850076001635548,51.72053401004432,3.891393754480796,2.830121217566371,20.91,FALSE,FALSE,TRUE,FALSE,1,0,14.996040025428062,Mountain,0.4168620196785084,0,2024,AZ-07,Raul Grijalva,Daniel Butierez,8810.92086043949,0,0,0,63.677107879037294,63.449085092487024,1.549003442060702,100,0.22802278655026953,0.22802278655026953,0.14720611998571262,TRUE,TRUE,12,AZ07
1215,2024,Arizona,AZ,FALSE,AZ-08,160344,208269,368613,Greg Whitten,Abraham Hamadeh,False,False,466676.08,1337550.08,368613,43.49927973240227,56.50072026759773,466676.08,1337550.08,1804226.16,25.86571962796505,74.13428037203495,0,0,0,0,8,-9.132718304933723,-11.24405923888397,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,71.74240375530427,3.33012823723053,16.980999789665567,3.8401057681713926,1.0099391365604644,31.480000000000004,FALSE,FALSE,FALSE,FALSE,0,0,-9.660553538421285,Mountain,0,0,2024,AZ-08,Greg Whitten,Abraham Hamadeh,669.0354518724964,0,0,0,42.71167356130757,43.49927973240227,1.6021123768816528,0,0.7876061710947013,-0.7876061710947013,-0.491604822770108,TRUE,TRUE,13,AZ08
1216,2024,Arizona,AZ,FALSE,AZ-09,132640,249583,382223,Quacy Smith,Paul Gosar,False,True,145521.92,432326.32,382223,34.70225496634164,65.29774503365836,145521.92,432326.32,577848.24,25.18341493953499,74.81658506046502,0,0,0,0,9,-15.340271154940446,-16.615050304333273,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,64.47480152153669,2.0190349921871302,24.744069321464085,4.538725002762126,1.1446249033255993,21.77,FALSE,FALSE,FALSE,TRUE,0,1,-15.658965942288653,Mountain,0,0,2024,AZ-09,Quacy Smith,Paul Gosar,634.2043880167942,0,0,0,34.133707345788316,34.70225496634164,1.566364790269738,0,0.5685476205533249,-0.5685476205533249,-0.3629726766620037,TRUE,TRUE,14,AZ09
1217,2024,Arkansas,AR,FALSE,AR-01,64113,194711,267177,Rodney Govens,Rick Crawford,False,True,61360.46,325357.92,258824,24.770886780205853,75.22911321979414,61360.46,325357.92,386718.38,15.86696241332,84.13303758667999,0,0,0,0,1,-23.343454996921203,-19.452262119706734,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,78.3957679768715,0.4583520066081424,2.4432552131389556,15.943725340292971,0.2400724083691421,17.57,FALSE,FALSE,FALSE,TRUE,0,1,-22.370656777617587,West South Central,0,0,2024,AR-01,Rodney Govens,Rick Crawford,251.76049622570963,0,0,0,24.965634691123295,24.770886780205853,1.5665817129719888,0,0.19474791091744237,0.19474791091744237,0.12431391819835737,TRUE,TRUE,15,AR01
1218,2024,Arkansas,AR,FALSE,AR-02,125777,180509,306286,Marcus Jones,French Hill,False,True,454577.07,1757301.56,306286,41.06521355856944,58.93478644143055,454577.07,1757301.56,2211878.63,20.55162809724329,79.4483719027567,0,0,0,0,2,-9.010669794571475,-9.108116624796011,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,72.7542733091185,1.0554177761228634,3.4469252548529195,20.171494411151,0.21182124113898704,32.53,FALSE,FALSE,FALSE,TRUE,0,1,-9.035031502127609,West South Central,0,0,2024,AR-02,Marcus Jones,French Hill,422.36941744739994,0,0,0,40.359985654069874,41.06521355856944,1.5668996692331176,0,0.7052279044995657,-0.7052279044995657,-0.4500785330082577,TRUE,TRUE,16,AR02
1219,2024,Arkansas,AR,FALSE,AR-03,95652,192101,301084,Caitlin Draper,Steve Womack,False,True,250700.58,1075585.74,287753,33.2410087818372,66.7589912181628,250700.58,1075585.74,1326286.32,18.902447851531782,81.09755214846821,0,0,0,0,3,-14.340126369002247,-16.62672378858688,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,80.42773542844415,2.733817717259445,9.752721208026758,2.6732543862394222,0.7309938829194839,31.069999999999997,FALSE,FALSE,FALSE,TRUE,0,1,-14.911775723898405,West South Central,0,0,2024,AR-03,Caitlin Draper,Steve Womack,357.3025347798785,0,0,0,33.39593180984212,33.2410087818372,1.568753662176821,0,0.15492302800491586,0.15492302800491586,0.09875548452262597,TRUE,TRUE,17,AR03
1220,2024,Arkansas,AR,FALSE,AR-04,73207,197046,270253,Risie Howard,Bruce Westerman,False,True,5733.21,1095592.31,270253,27.088320943708304,72.9116790562917,5733.21,1095592.31,1101325.52,0.520573608427779,99.47942639157222,0,0,0,0,4,-20.391524406217897,-17.041989496907895,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,72.99945602001563,0.5709131953242529,4.195910758931815,19.51647798652985,0.3221353783673158,18.06,FALSE,FALSE,FALSE,TRUE,0,1,-19.55414067889039,West South Central,0,0,2024,AR-04,Risie Howard,Bruce Westerman,0.2709968817915186,0,0,0,27.15326907534203,27.088320943708304,1.5688348445037352,0,0.06494813163372726,0.06494813163372726,0.04139896042038262,TRUE,TRUE,18,AR04
1221,2024,California,CA,FALSE,CA-01,110636,208592,319228,Rose Penelope Yee,Doug LaMalfa,False,True,60194.56,627954.84,319228,34.65736088313055,65.34263911686945,60194.56,627954.84,688149.3999999999,8.747309813828219,91.2526901861718,0,0,0,0,1,-12.063962010686636,-12.831906322739512,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,70.49343602629231,5.287959068480181,17.213634129021685,1.996504069481619,1.1909834125380092,22.66,FALSE,FALSE,FALSE,TRUE,0,1,-12.255948088699856,Pacific,0,0,2024,CA-01,Rose Penelope Yee,Doug LaMalfa,76.51542897909546,0,0,0,35.06945935115807,34.65736088313055,1.551561252086881,0,0.4120984680275228,0.4120984680275228,0.2656024488064794,TRUE,TRUE,19,CA01
1222,2024,California,CA,FALSE,CA-02,272883,106734,379617,Jared Huffman,Chris Coulombe,True,False,532702.44,104968.33,379617,71.8837670599578,28.1162329400422,532702.44,104968.33,637670.7699999999,83.53878914663126,16.46121085336874,0,0,0,0,2,23.086942265345208,23.508905949860583,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,75.25723077580588,3.9929980518486072,13.875681585873586,1.688516591340521,1.3683359510504705,42.29,FALSE,FALSE,TRUE,FALSE,1,0,23.192433186474048,Pacific,0,0,2024,CA-02,Jared Huffman,Chris Coulombe,6978.729292085317,0,0,0,72.17615053485412,71.8837670599578,1.5432201777141121,100,0.29238347489631167,0.29238347489631167,0.1894632270356932,TRUE,TRUE,20,CA02
1223,2024,California,CA,FALSE,CA-03,188067,234246,422313,Jessica Morse,Kevin Kiley,False,True,2815071.91,3014958.68,422313,44.53260969944093,55.46739030055906,2815071.91,3014958.68,5830030.59,48.28571422641541,51.7142857735846,0,0,0,0,3,-3.193477961430254,-5.341381101392919,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,75.58325169314648,6.309664778293649,12.082293308344337,1.8537291817523531,0.6212037313114964,40.26,FALSE,FALSE,FALSE,TRUE,0,1,-3.73045374642092,Pacific,0,0,2024,CA-03,Jessica Morse,Kevin Kiley,2331.5101983550553,0,0,0,44.695853589769534,44.53260969944093,1.5221507053154713,0.03,0.16324389032860154,0.16324389032860154,0.10724555049545416,TRUE,TRUE,21,CA03
1224,2024,California,CA,FALSE,CA-04,227730,114950,342680,Mike Thompson,John Munn,True,False,894741.21,30889.98,342680,66.45558538578265,33.544414614217345,894741.21,30889.98,925631.19,96.6628198861795,3.337180113820495,0,0,0,0,4,16.467395682792805,17.33675256704762,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,60.59808948706762,8.133644632911716,23.968120391886984,3.014178247607295,0.4300753362017192,35.36,FALSE,FALSE,TRUE,FALSE,1,0,16.68473490385651,Pacific,0,0,2024,CA-04,Mike Thompson,John Munn,9343.70074834798,0,0,0,66.72392463704693,66.45558538578265,1.5389649605525961,100,0.2683392512642797,0.2683392512642797,0.17436345735118436,TRUE,TRUE,22,CA04
1225,2024,California,CA,FALSE,CA-05,140919,227643,368562,Michael Barkley,Tom McClintock,False,True,13690.57,937576.95,368562,38.23481530922884,61.76518469077116,13690.57,937576.95,951267.52,1.4391924156098592,98.56080758439016,0,0,0,0,5,-8.560854164684393,-9.228271301670269,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,66.20022361139434,5.507133766023725,21.9884537764308,2.4468922938450612,0.5122669835666721,30.15,FALSE,FALSE,FALSE,TRUE,0,1,-8.727708448930862,Pacific,0,0,2024,CA-05,Michael Barkley,Tom McClintock,2.071274809148942,0,0,0,38.30574068180886,38.23481530922884,1.4504083439010005,0,0.07092537258001386,0.07092537258001386,0.04890027893058988,TRUE,TRUE,23,CA05
1226,2024,California,CA,FALSE,CA-06,165408,121664,287072,Ami Bera,Christine Bish,True,False,458165.56,172729.28,287072,57.61899453795564,42.38100546204437,458165.56,172729.28,630894.84,72.62154180877435,27.378458191225658,0,0,0,0,6,7.196282526254613,7.946986302129389,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,54.11420749983521,11.57177809917836,18.878514457209995,9.874020449866034,0.3526574356627982,29.33,FALSE,FALSE,TRUE,FALSE,1,0,7.383958470223307,Pacific,0,0,2024,CA-06,Ami Bera,Christine Bish,5273.888334683561,0,0,0,56.96641071853455,57.61899453795564,1.5367087458622648,100,0.6525838194210962,-0.6525838194210962,-0.4246633079809304,TRUE,TRUE,24,CA06
1227,2024,California,CA,FALSE,CA-07,197429,98341,295770,Doris Matsui,Tom Silva,True,False,366890.42,1551.5,295770,66.75085370389154,33.249146296108464,366890.42,1551.5,368441.92,99.57890242239536,0.4210975776046331,0,0,0,0,7,16.75113397524293,19.42566689585312,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,37.84407329467485,23.584801172895013,22.47873564620921,11.035124901679936,0.22113801602781308,33.410000000000004,FALSE,FALSE,TRUE,FALSE,1,0,17.419767205395477,Pacific,0,0,2024,CA-07,Doris Matsui,Tom Silva,9915.957807648936,0,0,0,66.86510538439948,66.75085370389154,1.5424294917960044,100,0.1142516805079481,0.1142516805079481,0.07407254666462158,TRUE,TRUE,25,CA07
1228,2024,California,CA,FALSE,CA-08,201962,71068,273030,John Garamendi,Rudy Recile,True,False,551472.99,17223.01,273030,73.97062593854156,26.029374061458448,551472.99,17223.01,568696,96.97149091957742,3.0285090804225803,0,0,0,0,8,25.30628865344276,28.402780747976244,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,31.72116580949309,20.14040683521631,26.30584567669964,16.529659140769475,0.2470342862752719,29.78,FALSE,FALSE,TRUE,FALSE,1,0,26.08041167707613,Pacific,0,0,2024,CA-08,John Garamendi,Rudy Recile,9403.470051165687,0,0,0,74.34817392135541,73.97062593854156,1.4323339712842778,100,0.3775479828138515,0.3775479828138515,0.26358935163377406,TRUE,TRUE,26,CA08
1229,2024,California,CA,FALSE,CA-09,130183,121174,251357,Josh Harder,Kevin Lincoln,True,False,4507023.42,1335500.51,251357,51.79207262976563,48.207927370234366,4507023.42,1335500.51,5842523.93,77.14171946917469,22.858280530825315,40,0.91,44,0.91,9,4.174905517354389,5.790079723407004,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,37.2885313800075,17.18746479363694,33.562545960306686,8.126089476907698,0.32159412363552936,20.42,FALSE,FALSE,TRUE,FALSE,1,0,4.578699068867543,Pacific,0,0,2024,CA-09,Josh Harder,Kevin Lincoln,5950.8448826608455,0.91,0.9539392014169457,4,52.59551824225052,51.79207262976563,1.550879974831379,95.355,0.803445612484893,0.803445612484893,0.5180578932758794,TRUE,TRUE,27,CA09
1230,2024,California,CA,FALSE,CA-10,242325,122219,364544,Mark DeSaulnier,Katherine Piccinini,True,False,285976.17,38179.38,364544,66.47345725070225,33.526542749297754,285976.17,38179.38,324155.55,88.22189532155164,11.778104678448356,0,0,0,0,10,17.835307944342482,18.16055482225827,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,55.40348888036297,19.556092560885524,14.945609122473485,5.550942654320634,0.17923507281066936,54.75,FALSE,FALSE,TRUE,FALSE,1,0,17.91661966382143,Pacific,0,0,2024,CA-10,Mark DeSaulnier,Katherine Piccinini,7783.102814126815,0,0,0,66.5471115013425,66.47345725070225,1.5382349244823024,100,0.07365425064024578,0.07365425064024578,0.04788231593755703,TRUE,TRUE,28,CA10
1231,2024,California,CA,FALSE,CA-11,274796,64315,339111,Nancy Pelosi,Bruce Lou,True,False,9554439.66,99069.66,339111,81.03423362851692,18.965766371483085,9554439.66,99069.66,9653509.32,98.97374460710624,1.026255392893742,0,0,0,0,11,35.758817554388365,39.53179087312386,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,46.424149093890726,31.51124330667417,11.969045508137492,5.429066941587371,0.21340904758114815,64.01,FALSE,FALSE,TRUE,FALSE,1,0,36.70206088407224,Pacific,0,0,2024,CA-11,Nancy Pelosi,Bruce Lou,9795.802121552691,0,0,0,82.02328298194935,81.03423362851692,1.5540593567397611,100,0.9890493534324349,0.9890493534324349,0.6364295862593996,TRUE,TRUE,29,CA11
1232,2024,California,CA,FALSE,CA-13,105554,105367,210921,Adam Gray,John Duarte,False,True,5255055.1,1761346.96,210921,50.04432939346959,49.9556706065304,5255055.1,1761346.96,7016402.06,74.89672135464825,25.103278645351747,46.3,0.7,45.2,0.7,13,3.28246835364596,5.47197313222005,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,30.988854102589997,7.645130785262443,54.613749667183875,3.808564162359184,0.3298322606707737,13.13,FALSE,FALSE,FALSE,TRUE,0,1,3.8298445482894823,Pacific,0,0,2024,CA-13,Adam Gray,John Duarte,5609.518869675823,0.7,0.8366600265340756,-1.0999999999999943,49.33985197650397,50.04432939346959,1.4402958472684024,32.335,0.7044774169656165,-0.7044774169656165,-0.4891199390053754,TRUE,TRUE,30,CA13
1233,2024,California,CA,FALSE,CA-14,187263,89125,276388,Eric Swalwell,Vin Kruttiventi,True,False,3347503.42,98311.78,276388,67.75366513741552,32.24633486258448,3347503.42,98311.78,3445815.2,97.14692244668258,2.853077553317427,0,0,0,0,14,20.94853866643131,23.93587238892579,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,32.794853895339124,36.23665400411997,20.679708947010024,6.336269845008716,0.2584615648166786,46.32,FALSE,FALSE,TRUE,FALSE,1,0,21.695372097054932,Pacific,0,0,2024,CA-14,Eric Swalwell,Vin Kruttiventi,9437.52454086176,0,0,0,68.26553427754442,67.75366513741552,1.5290704558595483,100,0.5118691401288942,0.5118691401288942,0.33475837438841444,TRUE,TRUE,31,CA14
1234,2024,California,CA,FALSE,CA-15,211648,77896,289544,Kevin Mullin,Anna Cheng Kramer,True,False,328461.47,139467.38,289544,73.09700770867295,26.902992291327056,328461.47,139467.38,467928.85,70.19474648763375,29.805253512366253,0,0,0,0,15,26.956434183172284,30.110308233545105,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,34.80065120198306,38.501908201790805,20.53208765047797,3.0829832577279106,0.13968937010933813,47.9,FALSE,FALSE,TRUE,FALSE,1,0,27.74490269576549,Pacific,0,0,2024,CA-15,Kevin Mullin,Anna Cheng Kramer,4927.30243446317,0,0,0,73.3914393853588,73.09700770867295,1.585921939461297,100,0.29443167668584636,0.29443167668584636,0.18565332212117475,TRUE,TRUE,32,CA15
1235,2024,California,CA,FALSE,CA-17,172462,82415,254877,Ro Khanna,Anita Chen,True,False,10130965.0,72028.44,254877,67.66479517571221,32.33520482428779,10130965,72028.44,10202993.44,99.29404600303262,0.7059539969673841,0,0,0,0,17,21.919058808284756,27.430312585861607,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,28.724794908695213,49.618552548832106,15.891013668042971,2.601238438220587,0.244013312386502,62.43,FALSE,FALSE,TRUE,FALSE,1,0,23.29687225267897,Pacific,0,0,2024,CA-17,Ro Khanna,Anita Chen,9859.307571652358,0,0,0,68.52512770682765,67.66479517571221,1.5520217972972485,100,0.8603325311154322,0.8603325311154322,0.5543301857059282,TRUE,TRUE,33,CA17
1236,2024,California,CA,FALSE,CA-18,147674,80832,228506,Zoe Lofgren,Peter Hernandez,True,False,1462434.43,191568.19,228506,64.6258741564773,35.374125843522705,1462434.43,191568.19,1654002.62,88.41790286886003,11.582097131139976,0,0,0,0,18,20.253491771604253,24.79515880913508,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,27.652837345215374,14.21418152526506,52.48102913180308,2.881249742983137,0.2370602592665162,23.5,FALSE,FALSE,TRUE,FALSE,1,0,21.38890853098696,Pacific,0,0,2024,CA-18,Zoe Lofgren,Peter Hernandez,7817.725547727166,0,0,0,65.45893481504356,64.6258741564773,1.4434795450551698,100,0.8330606585662679,0.8330606585662679,0.577119822321021,TRUE,TRUE,34,CA18
