,district,incumbent,party,dem_24,rep_24,tot_24,dem_pct_24,rep_pct_24,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,2p_tot_24,dem_2p_24,rep_2p_24,2p_tot_20,dem_2p_20,rep_2p_20,dem_16,rep_16,tot_16,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_20,lean_24
12,AR-03,Steve Womack,(R),112073,189161,309672,36.19,61.08,110479,180794,300274,36.79,60.21,301234,37.20463161528912,62.79536838471089,291273,37.92970855520422,62.07029144479578,82476,156678,259373,239154,34.486565142126,65.513434857874,-16.62672378858688,-14.340126369002249,-12.045314516278616
13,AR-04,Bruce Westerman,(R),81560,193335,280058,29.12,69.03,92683,198057,298962,31.0,66.25,274895,29.66951017661289,70.33048982338711,290740,31.878310517988577,68.12168948201142,94416,182697,290299,277113,34.07129943380498,65.92870056619502,-17.041989496907895,-20.391524406217894,-19.580435954954844
14,AZ-01,David Schweikert,(R),216232,230237,450734,47.97,51.08,231887,225013,462784,50.11,48.62,446469,48.43158203593082,51.56841796406917,456900,50.75224337929525,49.24775662070475,165645,181468,371758,347113,47.72077104574014,52.27922895425985,-3.392517884972733,-1.5175915449112196,-0.8183640956369089
15,AZ-02,Eli Crane,(R),174969,237306,416477,42.01,56.98,183714,215659,405633,45.29,53.17,412275,42.43987629616154,57.560123703838464,399373,46.00060594982635,53.99939405017364,130295,162484,317058,292779,44.50285027273131,55.49714972726869,-6.610438657981568,-6.26922897438012,-6.810069835406189
16,AZ-03,Yassamin Ansari,(D),147522,62762,213222,69.19,29.44,170840,54754,229285,74.51,23.88,210284,70.15369690513782,29.846303094862186,225594,75.72896442281267,24.271035577187337,121424,36498,170143,157922,76.88859057002824,23.111409429971758,25.775301639315366,23.459129498606195,20.90375077357009
17,AZ-04,Greg Stanton,(D),182893,159723,347506,52.63,45.96,201238,162975,371497,54.17,43.87,342616,53.38133654003315,46.61866345996684,364213,55.252832820355124,44.747167179644876,136013,128842,292378,264855,51.35375960431179,48.6462403956882,0.24047067359891372,2.982997896148653,4.131390408465421
18,AZ-05,Andy Biggs,(R),175673,264571,445025,39.47,59.45,171278,239646,417419,41.03,57.41,440244,39.90355348397706,60.09644651602293,410924,41.68118678879793,58.31881321120207,103832,166365,293915,270197,38.428257900716886,61.571742099283114,-12.68503102999599,-10.58864813540854,-9.346392647590669
19,AZ-06,Juan Ciscomani,(R),216024,219323,440175,49.08,49.83,214896,214580,436079,49.28,49.21,435347,49.621106841209425,50.378893158790575,429476,50.03678901731412,49.96321098268588,155070,173737,354405,328807,47.16140471461982,52.83859528538017,-3.951884216093056,-2.2330459068923503,0.3711607096416927
20,AZ-07,Adelita Grijalva,(D),170352,108028,281685,60.48,38.35,194860,97580,296840,65.64,32.87,278380,61.194051296788565,38.80594870321144,292440,66.6324716181097,33.3675283818903,149723,70427,236125,220150,68.00953895071542,31.99046104928458,16.896250020002547,14.362636693903234,11.944105165220833
21,AZ-08,Abe Hamadeh,(R),162183,226186,392023,41.37,57.7,171266,225761,402630,42.54,56.07,388369,41.76002719063571,58.239972809364296,397027,43.137116619272746,56.86288338072726,116708,176019,313776,292727,39.869229691828906,60.1307703081711,-11.24405923888397,-9.132718304933725,-7.4899189409320215
22,AZ-09,Paul Gosar,(R),137012,262106,402472,34.04,65.12,132165,225719,363126,36.4,62.16,399118,34.3286947719722,65.6713052280278,357884,36.929563769266025,63.07043623073398,82457,156561,255099,239018,34.4982386263796,65.5017613736204,-16.615050304333273,-15.340271154940446,-14.92125135959553
23,CA-01,VACANT (LaMalfa),(R),118090,199649,326893,36.12,61.07,136550,203077,348189,39.22,58.32,317739,37.165724069125915,62.834275930874085,339627,40.20587291351983,59.79412708648017,106000,170897,297539,276897,38.28138260797336,61.718617392026644,-12.831906322739513,-12.063962010686637,-12.084222062441818
24,CA-02,Jared Huffman,(D),276863,100474,390600,70.88,25.72,310592,101570,422441,73.52,24.04,377337,73.37287358515067,26.62712641484933,412162,75.35677718955168,24.643222810448318,251091,85392,364279,336483,74.62219488057346,25.37780511942654,23.508905949860583,23.086942265345208,24.12292745358294
25,CA-03,Kevin Kiley,(R),201922,218497,434048,46.52,50.34,211790,219762,442451,47.87,49.67,420419,48.028752268570166,51.971247731429834,431552,49.07635696277622,50.92364303722378,148225,175609,349009,323834,45.77190782931996,54.22809217068004,-5.341381101392919,-3.193477961430254,-1.2211938629975663
26,CA-04,Mike Thompson,(D),225203,115410,351669,64.04,32.82,250308,113844,373278,67.06,30.5,340613,66.11697146027898,33.88302853972103,364152,68.73723060699928,31.262769393000724,199588,91994,313567,291582,68.4500414977605,31.549958502239505,17.33675256704762,16.467395682792805,16.867025328711243
27,CA-05,Tom McClintock,(R),151686,219092,380505,39.86,57.58,171424,220770,401076,42.74,55.04,370778,40.91019424021922,59.08980575978079,392194,43.70898075952208,56.29101924047792,126636,175706,321883,302342,41.88501762904261,58.11498237095739,-9.228271301670269,-8.560854164684393,-8.339751891348513
28,CA-06,Ami Bera,(D),166463,124666,301412,55.23,41.36,192873,131468,333336,57.86,39.44,291129,57.17843292835821,42.82156707164178,324341,59.466117450461084,40.533882549538916,139951,97012,255192,236963,59.060275232842265,40.93972476715774,7.946986302129389,7.196282526254613,7.92848679679048
29,CA-07,Doris Matsui,(D),195104,103118,309198,63.1,33.35,228897,102737,339420,67.44,30.27,298222,65.42240344441389,34.577596555586105,331634,69.0209688994494,30.979031100550607,173116,72303,261124,245419,70.538955826566,29.461044173434004,19.42566689585312,16.75113397524293,16.172457312846156
30,CA-08,John Garamendi,(D),200015,75771,285116,70.15,26.58,244070,70550,321343,75.95,21.95,275786,72.52543638908429,27.47456361091571,314620,77.57612357764923,22.423876422350773,192312,49541,255375,241853,79.51606967868912,20.48393032131088,28.402780747976244,25.306288653442756,23.27549025751656
31,CA-09,Josh Harder,(D),122904,127491,258203,47.6,49.38,157640,121642,285397,55.24,42.62,250395,49.084047205415445,50.91595279458455,279282,56.44474044156086,43.55525955843914,118734,89925,220655,208659,56.90336865411988,43.09663134588012,5.790079723407004,4.174905517354389,-0.16589892615228763
32,CA-10,Mark DeSaulnier,(D),247321,119198,379290,65.21,31.43,280973,119815,409383,68.63,29.27,366519,67.47835719294225,32.52164280705775,400788,70.10514286854895,29.89485713145104,211297,93720,324554,305017,69.27384375297115,30.72615624702885,18.16055482225827,17.835307944342482,18.228411061374523
33,CA-11,Nancy Pelosi,(D),295463,50870,361182,81.8,14.08,339795,46210,393814,86.28,11.73,346333,85.31182416922441,14.688175830775583,386005,88.02865247859484,11.971347521405164,312188,32219,363048,344407,90.64507980383674,9.35492019616326,39.53179087312386,35.758817554388365,36.061878037656676
34,CA-12,Lateefah Simon,(D),269148,33869,318386,84.54,10.64,328830,31734,368206,89.31,8.62,303017,88.82273931825607,11.177260681743928,360564,91.19878856458216,8.801211435417846,285851,21158,326129,307009,93.10834535795367,6.8916546420463245,41.99505642724079,38.92895364037569,39.57279318668834
35,CA-13,Adam Gray,(D),100559,112433,218799,45.96,51.39,125261,100222,230706,54.29,43.44,212992,47.21257136418269,52.787428635817314,225483,55.55230327785243,44.44769672214757,95740,73456,179395,169196,56.58526206293293,43.41473793706707,5.47197313222005,3.2824683536459602,-2.037374767385039
36,CA-14,VACANT (Swalwell),(D),191274,88263,290778,65.78,30.35,239561,87626,334248,71.67,26.22,279537,68.42528895995879,31.57471104004121,327187,73.21837359063778,26.78162640936223,191587,63695,271329,255282,75.04916131963867,24.950838680361326,23.935872388925794,20.94853866643131,19.17534282839106
37,CA-15,Kevin Mullin,(D),220603,74250,305590,72.19,24.3,272883,71552,351079,77.73,20.38,294853,74.81796013606781,25.1820398639322,344435,79.22626910737876,20.773730892621252,222841,51514,288191,274355,81.22359716425798,18.77640283574201,30.110308233545105,26.956434183172284,25.56801400450008
38,CA-16,Sam Liccardo,(D),249344,82398,344065,72.47,23.95,288193,85593,382082,75.43,22.4,331742,75.16202350018992,24.837976499810093,373786,77.10106852584099,22.89893147415901,244067,64281,327900,308348,79.15309974444459,20.84690025555541,28.039810813731712,24.831233601634516,25.912077368622185
39,CA-17,Ro Khanna,(D),176438,76249,264323,66.75,28.85,219542,76381,301898,72.72,25.3,252687,69.82472386786816,30.175276132131845,295923,74.18889373249122,25.811106267508777,180644,49348,243900,229992,78.54360151657448,21.45639848342551,27.430312585861607,21.919058808284753,20.574777736300426
40,CA-18,Zoe Lofgren,(D),149269,79571,236237,63.19,33.68,190117,72029,267951,70.95,26.88,228840,65.22854396084601,34.77145603915399,262146,72.52332669581072,27.47667330418927,149674,47503,209358,197177,75.90844773984796,24.091552260152046,24.79515880913508,20.253491771604253,15.978597829278279
41,CA-19,Jimmy Panetta,(D),246403,116909,376513,65.44,31.05,283245,119900,412573,68.65,29.06,363312,67.82132161888404,32.17867838111596,403145,70.25883987151025,29.741160128489753,228207,92925,343781,321132,71.06330107245618,28.936698927543812,19.950012141743308,17.989004947303776,18.57137548731631
42,CA-20,Vince Fong,(R),110642,210246,328446,33.69,64.01,127496,214492,349862,36.44,61.31,320888,34.47994315773728,65.52005684226272,341988,37.28084026340105,62.71915973659894,86186,169533,270759,255719,33.703400998752535,66.29659900124746,-17.40988793196034,-14.988994660805417,-14.77000297383045
43,CA-21,Jim Costa,(D),101220,93644,200112,50.58,46.8,133827,87856,226362,59.12,38.81,194864,51.94391986205764,48.05608013794236,221683,60.36863449159385,39.63136550840615,100670,63046,172953,163716,61.49063011556598,38.50936988443402,10.377341184853101,8.098799567387381,2.6939737304899083
44,CA-22,David Valadao,(R),79359,89469,173377,45.77,51.6,103963,79681,188155,55.25,42.35,168828,47.005828417087216,52.994171582912784,183644,56.6111607240095,43.388839275990506,80935,57626,146731,138561,58.411096917603075,41.588903082396925,7.297807986890199,4.34132579980303,-2.2441177144805167
45,CA-23,Jay Obernolte,(R),110434,156700,274456,40.24,57.09,130953,160218,298346,43.89,53.7,267134,41.34030112228319,58.65969887771681,291171,44.97460255313888,55.02539744686112,94354,129659,237660,224013,42.11987697142577,57.88012302857424,-8.993411959287108,-7.295232371067591,-7.909645009284539
46,CA-24,Salud Carbajal,(D),214713,126508,352206,60.96,35.92,240344,130117,379418,63.35,34.29,341221,62.92490790426146,37.07509209573854,370461,64.87700459697511,35.12299540302488,192277,110464,325104,302741,63.51204494931311,36.48795505068689,12.398756018600231,12.607169672768642,13.674961772693727
47,CA-25,Raul Ruiz,(D),125529,119328,250727,50.07,47.59,150324,109749,265268,56.67,41.37,244857,51.26624928019211,48.73375071980789,260073,57.80069442041273,42.19930557958727,115402,79731,204939,195133,59.14017618752339,40.85982381247662,8.026887256810511,5.530859496206261,2.016303148624381
48,CA-26,Julia Brownley,(D),190849,145316,345925,55.17,42.01,222994,147422,378303,58.95,38.97,336165,56.772418306486394,43.2275816935136,370416,60.200963241328665,39.79903675867133,172791,119201,310253,291992,59.17662127729527,40.82337872270473,8.063332346582392,7.9311283171221945,7.522472174918661
49,CA-27,George Whitesides,(D),157170,145061,311417,50.47,46.58,188108,145890,341467,55.09,42.72,302231,52.00326902270118,47.996730977298824,333998,56.32009772513607,43.67990227486392,137453,111663,264932,249116,55.17630340885371,44.823696591146295,4.063014478140836,4.050262800929602,2.7533228911334504
50,CA-28,Judy Chu,(D),204263,115237,330517,61.8,34.87,242549,117111,366847,66.12,31.92,319500,63.932081377151796,36.0679186228482,359660,67.43841405772119,32.56158594227882,187981,87369,291791,275350,68.26983838750681,31.73016161249319,17.156549456793933,15.168579133514719,14.682135245584064
51,CA-29,Luz Rivas,(D),154257,72714,234315,65.83,31.03,204924,63885,274903,74.54,23.24,226971,67.96330808781738,32.03669191218261,268809,76.23405466334833,23.765945336651676,167514,35752,215103,203266,82.41122470063857,17.58877529936143,31.297935769925694,23.96421973914186,18.71336195624965
52,CA-30,Laura Friedman,(D),233138,94036,338818,68.81,27.75,273895,98576,379374,72.2,25.98,327174,71.25810730681533,28.741892693184667,372471,73.53458390049158,26.465416099508417,227402,64161,308087,291563,77.9941213391274,22.005878660872607,26.880832408414527,21.264748976285112,22.0081611752476
53,CA-31,Gil Cisneros,(D),151581,106588,266185,56.95,40.04,198028,102679,307073,64.49,33.44,258169,58.71386572361516,41.28613427638485,300707,65.8541370836063,34.145862916393696,156396,67936,238158,224332,69.71631332132732,30.283686678672684,18.603024390614443,13.584302159399833,9.463919592047425
54,CA-32,Brad Sherman,(D),224304,114803,349320,64.21,32.86,271209,112044,390332,69.48,28.7,339107,66.1454939001554,33.85450609984459,383253,70.76500379644777,29.23499620355222,222716,79312,318390,302028,73.740183029388,26.259816970612,22.62689409867513,18.4951688722413,16.89554776858767
55,CA-33,Pete Aguilar,(D),129054,107755,243888,52.92,44.18,168266,99017,273478,61.53,36.21,236809,54.49708414798424,45.50291585201576,267283,62.95424699662904,37.045753003370955,129374,67186,207883,196560,65.81908831908831,34.18091168091168,14.705799388375432,10.684412072422568,5.247138016416507
56,CA-34,Jimmy Gomez,(D),156740,48092,214539,73.06,22.42,205043,42309,253290,80.95,16.7,204832,76.52124668020622,23.478753319793782,247352,82.89522623629483,17.104773763705165,166571,20440,198317,187011,89.07016164824529,10.92983835175471,37.95687271753241,30.62539131208836,27.271300548638486
57,CA-35,Norma Torres,(D),131010,105937,244123,53.67,43.39,173588,97138,276741,62.73,35.1,236947,55.29084563214558,44.70915436785442,270726,64.11944179724149,35.880558202758515,129417,60059,200403,189476,68.30258185733285,31.697418142667143,17.189292926619977,11.849606873035022,6.040899500577851
58,CA-36,Ted Lieu,(D),261912,111106,385620,67.92,28.81,299046,113323,421108,71.01,26.91,373018,70.21430601204231,29.785693987957686,412369,72.51903028598173,27.480969714018272,248098,88950,358360,337048,73.60910018751038,26.390899812489614,22.495811256797502,20.249195361775257,20.964359880474582
59,CA-37,Sydney Kamlager-Dove,(D),184950,42949,235124,78.66,18.27,239814,34760,279846,85.69,12.42,227899,81.15437101523042,18.84562898476957,274574,87.34038911186055,12.659610888139444,204880,16919,231849,221799,92.37192232607,7.628077673929999,41.25863339535713,35.070554187654075,31.904424883662692
60,CA-38,Linda Sanchez,(D),166559,119143,294877,56.48,40.4,217122,114836,338870,64.07,33.89,285702,58.298156820743294,41.701843179256706,331958,65.40646708318522,34.59353291681478,172158,77300,264220,249458,69.01281979331189,30.987180206688098,17.899530862599015,13.136632158978749,9.048210689175562
61,CA-39,Mark Takano,(D),125934,103033,236224,53.31,43.62,165291,95616,266730,61.97,35.85,228967,55.00093899994323,44.99906100005678,260907,63.35245892214467,36.64754107785533,126358,67163,205670,193521,65.29420579678691,34.70579420321309,14.180916866074035,11.0826239979382,5.750992868375498
62,CA-40,Young Kim,(R),184651,193734,391393,47.18,49.5,212169,204203,424992,49.92,48.05,378385,48.79976743264135,51.20023256735864,416372,50.95659650504837,49.04340349495163,153235,167909,340682,321144,47.71535510549785,52.28464489450215,-3.397933825215027,-1.313238419158104,-0.4501786989263792
63,CA-41,Ken Calvert,(R),165922,187430,362808,45.73,51.66,178995,182973,368474,48.58,49.66,353352,46.95657587901017,53.04342412098983,361968,49.45050391194802,50.54949608805198,120855,137273,271090,258128,46.81979483047171,53.18020516952829,-4.293494100241169,-2.819331012258452,-2.2933702525575654
64,CA-42,Robert Garcia,(D),159940,79492,248059,64.48,32.05,207750,74998,289669,71.72,25.89,239432,66.79975943065254,33.20024056934746,282748,73.4753207803415,26.52467921965849,169862,50761,234937,220623,76.99197273176414,23.00802726823586,25.87868380105126,21.205485856135034,17.54981329908481
65,CA-43,Maxine Waters,(D),162845,53435,223449,72.88,23.91,218764,46043,270782,80.79,17.0,216280,75.29360088773812,24.70639911226188,264807,82.61261975703059,17.387380242969407,185173,25041,220096,210214,88.08785333041567,11.912146669584327,36.97456439970279,30.342784832824115,26.04365475617039
66,CA-44,Nanette Barragan,(D),164053,79136,251106,65.33,31.51,213507,72413,292791,72.92,24.73,243189,67.4590544802602,32.540945519739786,285920,74.67368494683828,25.326315053161725,177642,44780,235011,222422,79.86709947756967,20.132900522430337,28.75381054685679,22.403850022631808,18.209108348692475
67,CA-45,Derek Tran,(D),159879,154900,324363,49.29,47.76,186196,164111,357137,52.14,45.95,314779,50.79087232629876,49.20912767370123,350307,53.15223503955102,46.84776496044898,147167,110889,273405,258056,57.02909446011718,42.970905539882814,5.915805529404302,0.8824001153445522,1.5409261947310284
68,CA-46,Lou Correa,(D),125174,86462,218362,57.32,39.6,162579,85483,253538,64.12,33.72,211636,59.145892003250864,40.854107996749136,248062,65.53966347122898,34.46033652877104,129505,52908,193744,182413,70.99548826015689,29.004511739843103,19.882199329444013,13.269828547022506,9.895945871683132
69,CA-47,Dave Min,(D),182428,167325,362462,50.33,46.16,212948,169641,390918,54.47,43.4,349753,52.159095132850894,47.840904867149106,382589,55.65972884740545,44.34027115259455,154198,131616,304040,285814,53.95047128552135,46.04952871447865,2.8371823548084762,3.3898939231989758,2.9091490012831613
70,CA-48,Darrell Issa,(R),152884,209800,371854,41.11,56.42,167285,215540,391616,42.72,55.04,362684,42.153500016543326,57.84649998345668,382825,43.69751191797819,56.30248808202181,114587,175666,307909,290253,39.47831719224263,60.52168280775737,-11.634971738470249,-8.572323006228281,-7.096446115024406
71,CA-49,Mike Levin,(D),202287,172361,385546,52.47,44.71,221230,174975,405298,54.58,43.17,374648,53.99388225747902,46.00611774252098,396205,55.83725596597721,44.16274403402279,160308,142290,322391,302598,52.97721729819761,47.02278270180239,1.863928367484732,3.5674210417707357,4.74393612591129
72,CA-50,Scott Peters,(D),234873,124867,372180,63.11,33.55,262795,129606,401947,65.38,32.24,359740,65.28965363873908,34.71034636126091,392401,66.9710321839139,33.028967816086094,197412,108457,326413,305869,64.54135593996122,35.45864406003877,13.428067009248345,14.701197259707435,16.03970750717135
73,CA-51,Sara Jacobs,(D),204059,124434,338858,60.22,36.72,231182,130132,370060,62.47,35.17,328493,62.119740755510776,37.88025924448923,361314,63.983681783711674,36.016318216288326,174545,105799,299006,280344,62.261007904574384,37.73899209542562,11.147718973861508,11.713846859505203,12.869794623943044
74,CA-52,Juan Vargas,(D),159494,102478,269073,59.28,38.09,205523,93111,304934,67.4,30.53,261972,60.88207900080924,39.11792099919075,298634,68.82103176463498,31.17896823536503,170895,58244,241869,229139,74.58136764147525,25.41863235852474,23.468078710762377,16.55119684042851,11.63213286924151
75,CO-01,Diana DeGette,(D),280661,75479,365908,76.7,20.63,315904,72379,397310,79.51,18.22,356140,78.80636828213625,21.193631717863763,388283,81.35921479951479,18.64078520048521,246634,63455,334973,310089,79.53652016034106,20.463479839658937,28.42323122962818,29.089379875308317,29.556422150568515
76,CO-02,Joe Neguse,(D),295692,123973,431634,68.51,28.72,306400,128491,446260,68.66,28.79,419665,70.4590566285013,29.540943371498695,434891,70.4544357091777,29.545564290822295,242986,121475,399225,364461,66.66995920002414,33.330040799975855,15.556670269311262,18.18460078497123,21.20911049693357
77,CO-03,Jeff Hurd,(R),178501,218065,406672,43.89,53.62,184181,218187,412128,44.69,52.94,396566,45.01167523186557,54.98832476813443,402368,45.77426634324797,54.22573365675203,139358,189660,357266,329018,42.355737376070614,57.644262623929386,-8.757551554642262,-6.495568580958498,-4.238270899702165
78,CO-04,Lauren Boebert,(R),182901,267114,461367,39.64,57.9,174553,256585,442183,39.48,58.03,450015,40.64331188960368,59.35668811039632,431138,40.48657274468964,59.51342725531037,117337,217525,365046,334862,35.04040470402733,64.95959529597268,-16.072884226685545,-11.783262179516832,-8.606634241964052
79,CO-05,Jeff Crank,(R),165522,199615,375301,44.1,53.19,160880,198614,373408,43.08,53.19,365137,45.33147832183537,54.66852167816464,359494,44.75179001596688,55.24820998403312,107229,175679,314303,282908,37.902427644322536,62.097572355677464,-13.21086128639034,-7.518044908239588,-3.9184678097323626
80,CO-06,Jason Crow,(D),210533,139305,360149,58.46,38.68,232517,141195,383771,60.59,36.79,349838,60.18014052218456,39.81985947781544,373712,62.2182322216038,37.781767778396194,173994,130081,332723,304075,57.22075145934391,42.77924854065609,6.107462528631032,9.948397297397328,10.930194390616826
81,CO-07,Brittany Pettersen,(D),249924,183164,445524,56.1,41.11,256166,190987,459940,55.7,41.52,433088,57.70744052017142,42.292559479828576,447153,57.28822125760087,42.71177874239913,185568,173918,394772,359486,51.620369082523375,48.37963091747662,0.5070801518104986,5.018386333394396,8.457494388603685
82,CO-08,Gabe Evans,(R),164425,170726,344318,47.75,49.58,173751,158170,341951,50.81,46.26,335151,49.05997595113844,50.94002404886155,331921,52.347094639989635,47.65290536001036,125764,130691,281939,256455,49.039402624242065,50.960597375757935,-2.0738863064708113,0.07725971578316404,-0.1899701804292917
83,CT-01,John Larson,(D),208405,129726,343851,60.61,37.73,227830,126759,359895,63.3,35.22,338131,61.63439613640867,38.36560386359133,354589,64.25185214431356,35.74814785568644,194466,118324,327259,312790,62.1714249176764,37.8285750823236,11.05813598696352,11.982017220107089,12.384450004840936
84,CT-02,Joe Courtney,(D),205994,175984,388477,53.03,45.3,214158,169366,391348,54.72,43.28,381978,53.92823670473169,46.07176329526831,383524,55.83953025104035,44.16046974895965,172514,160603,353384,333117,51.78781028887748,48.21218971112252,0.6745213581646041,3.5696953268338802,4.678290573163956
85,CT-03,Rosa DeLauro,(D),191831,143737,342110,56.07,42.01,213122,142174,359820,59.23,39.51,335568,57.16605874219234,42.83394125780766,355296,59.98435107628569,40.01564892371431,179608,134228,326342,313836,57.22989077097592,42.77010922902408,6.116601840263044,7.71451615207922,7.916112610624609
86,CT-04,Jim Himes,(D),206080,127034,338387,60.9,37.54,230411,120230,355456,64.82,33.82,333114,61.864706977190984,38.13529302280901,350641,65.71136860777833,34.288631392221674,190493,113120,316448,303613,62.742043324890574,37.25795667510943,11.628754394177697,13.441533683571855,12.614760845623252
87,CT-05,Jahana Hayes,(D),179743,160437,345604,52.01,46.42,195160,156762,357217,54.63,43.88,340180,52.83761538009289,47.16238461990711,351922,55.45547024624775,44.54452975375226,160336,146834,321222,307170,52.19780577530357,47.80219422469642,1.084516844590695,3.1856353220412785,3.5876692485251596
88,DE-AL,Sarah McBride,(D),289758,214351,511697,56.63,41.89,296268,200603,504010,58.78,39.8,504109,57.47923564149817,42.520764358501836,496871,59.626744164984466,40.37325583501553,235603,185127,441590,420730,55.998621443681216,44.001378556318784,4.88533251296834,7.356909240777995,8.229289509930439
89,FL-01,Jimmy Patronis,(R),130210,287054,421568,30.89,68.09,139194,275547,421983,32.99,65.3,417264,31.205663560719355,68.79433643928064,414741,33.56166860763706,66.43833139236295,103970,243249,367242,347219,29.9436378769595,70.0563621230405,-21.169651053753377,-18.70816631656941,-18.044282570848377
90,FL-02,Neal Dunn,(R),166158,239978,410127,40.51,58.51,180607,225757,410746,43.97,54.96,406136,40.91191128095023,59.08808871904978,406364,44.44463584372632,55.55536415627369,159976,204914,381032,364890,43.84225382992135,56.157746170078646,-7.271035100791529,-7.825199080480154,-8.338034850617504
91,FL-03,Kat Cammack,(R),155748,240137,399639,38.97,60.09,166687,222032,392680,42.45,56.54,395885,39.341728027078574,60.658271972921426,388719,42.881104345298276,57.11889565470173,141371,192669,348275,334040,42.321578254101304,57.6784217458987,-8.791710676611572,-9.388730578908195,-9.908218104489158
92,FL-04,Aaron Bean,(R),173072,220106,397132,43.58,55.42,184152,210911,400004,46.04,52.73,393178,44.01873960394529,55.98126039605471,395063,46.61332496336028,53.38667503663973,149004,185561,347759,334565,44.53663712582009,55.4633628741799,-6.576651804892784,-5.6565099608461935,-5.23120652762244
93,FL-05,John Rutherford,(R),168926,262439,436333,38.71,60.15,176903,244278,426534,41.47,57.27,431365,39.16080349587936,60.83919650412064,421181,42.001657244747506,57.998342755252494,131386,209914,358884,341300,38.495751538236156,61.504248461763844,-12.61753739247672,-10.268177679458965,-10.089142635688376
94,FL-06,Randy Fine,(R),152754,285616,441578,34.59,64.68,160980,262018,426794,37.72,61.39,438370,34.84590642607843,65.15409357392157,422998,38.056917526796816,61.943082473203184,133086,218572,365067,351658,37.845292869776884,62.154707130223116,-13.267996060935992,-14.212917397409655,-14.404039705489303
95,FL-07,Cory Mills,(R),184389,237638,426813,43.2,55.68,202049,226044,432716,46.69,52.24,422027,43.691280415708,56.308719584292,428093,47.19745475866225,52.802545241337754,163729,192372,374512,356101,45.97824774431973,54.02175225568027,-5.1350411863931456,-5.072380165544217,-5.558665715859732
