Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
CVOTER,B/C@@8,.2738781432527518,R+0.19@@-.19,6,R+
Market Shares Corp.,B/C@@8,.2929762025811929,R+0.90@@-.9,25,R+
Optimus Analytics,B/C@@8,.2936104013976805,R+0.48@@-.48,17,R+
Benenson Strategy Group,B/C@@8,.2942633547914714,D+1.04@@1.04,12,D+
Spry Strategies,B/C@@8,.2960842490480496,R+0.35@@-.35,5,R+
ROI Rocket,B/C@@8,.2983035627113472,±0.00@@0,3,±
Cardinal Point Analytics (CardinalGPS),B/C@@8,.2983035627113472,R+0.28@@-.28,3,R+
State Navigate,B/C@@8,.3111750313452639,R+0.25@@-.25,2,R+
Lucid,B/C@@8,.3112131641134203,D+1.67@@1.67,25,D+
University of South Alabama,B/C@@8,.3154287282947804,R+0.33@@-.33,9,R+
Frederick Polls,B/C@@8,.3289736486825861,D+0.55@@.55,8,D+
Axis Research,B/C@@8,.3321249179245901,R+0.10@@-.1,2,R+
"Fabrizio, Lee & Associates/GBAO",B/C@@8,.3321249179245901,R+0.11@@-.11,2,R+
Edgewater Research/My People Vote,B/C@@8,0.337814929,R+0.05@@-.05,3,R+
Kiley & Company,B/C@@8,.3398750495106631,D+0.31@@.31,5,D+
University of Washington,B/C@@8,.3406141886837432,D+0.04@@.04,9,D+
Maine People's Resource Center,B/C@@8,.3465238452088006,D+0.10@@.1,14,D+
RT Strategies,B/C@@8,.3469215954823974,D+0.84@@.84,45,D+
David Binder Research,B/C@@8,.3556934572610776,D+0.07@@.07,3,D+
Louisville Courier-Journal,B/C@@8,.3602069446472504,R+0.17@@-.17,10,R+
Ogden & Fry,B/C@@8,.3608389198429793,R+0.01@@-.01,3,R+
Riley Research Associates,B/C@@8,.3636426131135327,R+0.06@@-.06,7,R+
Market Research Institute Inc.,B/C@@8,.3638696531933646,D+0.08@@.08,11,D+
BSP Research/Shaw & Company Research,B/C@@8,.3705297516166898,R+0.07@@-.07,2,R+
Schoen Cooperman Research,B/C@@8,.3804989010014643,R+0.02@@-.02,2,R+
Gravis Marketing/Kaplan Strategies,B-@@7,.3807764067576409,D+1.30@@1.3,158,D+
Tufts University,B/C@@8,.3902867196578809,D+0.37@@.37,3,D+
DFM Research,B/C@@8,.3927558320125616,D+1.22@@1.22,10,D+
Iowa State University,B/C@@8,.3946777958206021,±0.00@@0,3,±
Financial Dynamics,B/C@@8,.3968630281736827,R+0.34@@-.34,15,R+
McKeon & Associates,B/C@@8,.3988723659715184,D+0.15@@.15,3,D+
Latino Decisions,B/C@@8,.4046046012648271,D+0.17@@.17,2,D+
Richard Day Research,B/C@@8,.4046739730562681,R+0.35@@-.35,11,R+
Alabama State University,B/C@@8,0.404936121,±0.00@@0,4,±
Tulchin Research,B/C@@8,.4055769187412905,R+0.06@@-.06,3,R+
Keating Research/OnSight Public Affairs/Melanson,B/C@@8,.4199218210586147,R+0.09@@-.09,3,R+
University of New Orleans,B/C@@8,.4295883966732276,D+0.27@@.27,13,D+
Cherry Communications,B/C@@8,0.43038495,D+0.36@@.36,8,D+
BK Strategies,B/C@@8,0.431796561,D+0.31@@.31,3,D+
Orion Strategies,B/C@@8,.4327882789755192,D+0.08@@.08,4,D+
John Zogby Strategies,B/C@@8,.4328517675564544,D+0.39@@.39,4,D+
Zogby Analytics,B-@@7,.4330101857161881,R+0.59@@-.59,495,R+
Winthrop University,B/C@@8,.4330458324799157,D+0.00@@0,3,D+
DCCC,B/C@@8,.4371890211775606,D+1.60@@1.6,10,D+
JMC Analytics,B/C@@8,.4378213580435186,R+0.65@@-.65,13,R+
Focaldata,B/C@@8,.4396657323065092,D+1.30@@1.3,9,D+
OpinionWorks,B/C@@8,.4398703365263127,R+0.48@@-.48,7,R+
GS Strategy Group,B/C@@8,.4399179314720033,R+0.33@@-.33,2,R+
IVR Polls,B/C@@8,.4437314596273083,±0.00@@0,4,±
Google Consumer Surveys,B/C@@8,0.447155332,R+0.08@@-.08,24,R+
OnPoint,B/C@@8,.4495536581089301,D+0.02@@.02,6,D+
MSR Group,B/C@@8,.4511857521727589,D+0.08@@.08,6,D+
Marshall Marketing,B/C@@8,0.453767832,R+0.16@@-.16,4,R+
High Point University,B/C@@8,.4541815373588345,D+0.00@@0,5,D+
Southern Media & Opinion Research,B/C@@8,.4551715900968132,D+0.07@@.07,7,D+
Wiese Research Associates,B/C@@8,.4569208562158247,D+0.74@@.74,7,D+
Harris Insights & Analytics,B-@@7,.4594942459102552,R+1.05@@-1.05,193,R+
Global Strategy Group,B/C@@8,.4606950552531283,D+1.61@@1.61,26,D+
Master Image,B/C@@8,.4613210705480452,±0.00@@0,2,±
Douglas Fulmer & Associates,B/C@@8,.4613210705480452,±0.00@@0,2,±
Meeting Street Insights,B/C@@8,.4614216662181567,D+0.55@@.55,5,D+
Dan Jones & Associates,B/C@@8,.4619806696551449,D+0.76@@.76,40,D+
AYTM,B/C@@8,.4624315907855585,D+0.52@@.52,4,D+
Missouri State University,B/C@@8,0.466397972,D+0.23@@.23,3,D+
,B/C@@8,.4680714278565658,R+0.19@@-.19,1,R+
Northern Arizona University,B/C@@8,.4723632329133634,R+0.18@@-.18,4,R+
PSB Research,B/C@@8,.4730391771311296,D+1.89@@1.89,19,D+
MWR Strategies,B/C@@8,.4742606323325834,R+0.03@@-.03,2,R+
Potomac Incorporated,B/C@@8,.4772873676328988,R+0.23@@-.23,8,R+
University of Wisconsin (Madison),B/C@@8,.4791509083609874,D+0.53@@.53,8,D+
Torchlight Strategies,B/C@@8,.4797192316451072,±0.00@@0,1,±
Gotham Polling & Analytics,B/C@@8,.4797192316451072,R+0.17@@-.17,1,R+
M3 Strategies,B/C@@8,.4797192316451072,R+0.16@@-.16,1,R+
Basswood Research,B/C@@8,.4800731324977638,R+0.16@@-.16,4,R+
APC Research,B/C@@8,.4847047330994249,D+0.13@@.13,2,D+
Voter/Consumer Research,B/C@@8,.4872945647622701,R+0.07@@-.07,8,R+
CJ&N,B/C@@8,.4901597755226179,D+0.07@@.07,3,D+
Stetson University,B/C@@8,.4902541868839421,D+1.37@@1.37,4,D+
El Nuevo DÃ­a/The Research Office,B/C@@8,.4913708564052568,±0.00@@0,4,±
Moore Information Group,B/C@@8,.4929682576062893,R+1.56@@-1.56,18,R+
Ethridge & Associates LLC,B/C@@8,.5007091916647537,R+0.04@@-.04,6,R+
Fabrizio Lee & Associates/Impact Research,B/C@@8,.5008590116425011,D+0.03@@.03,1,D+
CWS Research,B/C@@8,0.50151003,R+0.00@@0,1,R+
The Tyson Group,B/C@@8,.5028000099362667,D+0.09@@.09,14,D+
MFour Mobile Research,B/C@@8,.5052320006997842,R+0.13@@-.13,2,R+
Big Ten,B/C@@8,.5054256257335681,D+0.63@@.63,10,D+
Montana State University Billings,B/C@@8,.5060931393703133,D+1.62@@1.62,11,D+
Big Data Poll,F@@16,.5079808089912001,R+0.34@@-.34,6,R+
Slingshot Strategies,B/C@@8,.5110362329909064,D+0.35@@.35,2,D+
Market Decisions Research,B/C@@8,.5113303997687173,R+0.05@@-.05,4,R+
Magellan Strategies,B/C@@8,.5161272154773524,R+0.38@@-.38,18,R+
University of Massachusetts (Amherst),B/C@@8,.5161897478592068,R+0.12@@-.12,11,R+
American Viewpoint,B/C@@8,.5172785934185955,R+0.54@@-.54,9,R+
NewsNation,B/C@@8,.5193141393263673,D+0.07@@.07,1,D+
Blumenthal Research Daily,F@@16,.5193524204984581,R+0.12@@-.12,2,R+
Park Street Strategies,B/C@@8,.5193885163873075,±0.00@@0,1,±
Data Targeting,B/C@@8,.5193885163873075,R+0.16@@-.16,1,R+
Braun Research,B/C@@8,.5240507321756481,D+0.91@@.91,6,D+
Virginia Commonwealth University,B/C@@8,.5261335519451286,D+0.05@@.05,8,D+
Targoz Market Research,B-@@7,.5281471925545105,D+1.31@@1.31,26,D+
Bendixen & Amandi International,B/C@@8,.5285190355923216,D+0.09@@.09,2,D+
Strategic Research Associates,B/C@@8,.5310193703445233,D+0.30@@.3,5,D+
Global Strategy Group/National Research (Philadelphia Inquirer),B/C@@8,.5329647752221777,R+0.23@@-.23,4,R+
Mason Strategies,B/C@@8,.5356019677841505,D+0.07@@.07,1,D+
1892 Polling,B/C@@8,.5356019677841505,R+0.02@@-.02,1,R+
Rethink Priorities,F@@16,0.535840966,D+0.29@@.29,2,D+
Pacific Market Research,B/C@@8,.5373529071180947,R+0.50@@-.5,2,R+
Scripps Howard,B/C@@8,.5416612438393752,R+0.11@@-.11,5,R+
National Public Affairs,B/C@@8,.5427197034635117,D+0.01@@.01,1,D+
The Polling Company Inc./National Research Inc.,B/C@@8,.5429249428508427,R+0.09@@-.09,1,R+
CSP Polling,F@@16,.5429249428508427,D+0.08@@.08,1,D+
Forward Strategies,B/C@@8,0.543288044,D+0.05@@.05,2,D+
Personal Marketing Research,B/C@@8,.5437522242322865,±0.00@@0,3,±
University of Houston,B/C@@8,0.549767384,±0.00@@0,1,±
Targeted Persuasion,B/C@@8,0.549767384,±0.00@@0,1,±
Singularis Group,B/C@@8,0.549767384,R+0.02@@-.02,1,R+
IMGE Insights,B/C@@8,.5507504071436469,R+0.40@@-.4,2,R+
KG Polling,F@@16,.5521067865146185,D+0.15@@.15,2,D+
"Drake Research & Strategy, Inc.",B/C@@8,.5530311248388866,R+0.01@@-.01,8,R+
University of Southern California,B/C@@8,.5540828339695406,D+1.27@@1.27,13,D+
Purple Strategies,B/C@@8,.5557084155476847,R+0.26@@-.26,4,R+
Columbus Dispatch,B/C@@8,.5563925992890369,D+0.80@@.8,22,D+
University of Wisconsin-Milwaukee,B/C@@8,.5568805690092226,R+0.05@@-.05,3,R+
Remington Research Group,B-@@7,.5569083217873609,D+1.28@@1.28,55,D+
Jim Meader (KELOLAND-TV),B/C@@8,.5583666840393515,D+0.19@@.19,4,D+
Washington College,B/C@@8,.5600538551847064,D+0.23@@.23,1,D+
Richmond Times-Dispatch,B/C@@8,.5603610380888688,D+0.12@@.12,4,D+
Behavior Research Center (Rocky Mountain Poll),B/C@@8,.5606636918632275,D+0.34@@.34,7,D+
SoCal Research,B/C@@8,.5609295220101961,R+0.68@@-.68,2,R+
Mercyhurst University,B/C@@8,.5621270980602737,R+0.02@@-.02,1,R+
Odney,B/C@@8,.5621270980602737,D+0.05@@.05,1,D+
Montgomery Research,B/C@@8,.5622172042913469,R+0.24@@-.24,1,R+
Thirty-Ninth Street Strategies,B/C@@8,.5628957128058493,R+0.07@@-.07,1,R+
University of Tennessee,B/C@@8,.5646744328089763,R+0.07@@-.07,2,R+
University of New Hampshire,B-@@7,.5651936783278549,D+2.05@@2.05,150,D+
Diamond State Consulting Group,B/C@@8,.5656071437577919,D+0.10@@.1,1,D+
GreatBlue Research,B/C@@8,.5657427465889232,R+0.02@@-.02,2,R+
Market Solutions Group,B/C@@8,.5686621510405386,R+0.00@@0,4,R+
Reconnect Research/Probolsky Research,B/C@@8,.5695308248876961,R+0.13@@-.13,2,R+
Frank N. Magid Associates Inc.,B/C@@8,.5697103016243761,D+0.34@@.34,5,D+
Myers Research & Strategic Services,B/C@@8,.5716205566810143,D+0.11@@.11,2,D+
Valley Research,B/C@@8,.5723418343167394,D+0.32@@.32,8,D+
Quest Research Group,B/C@@8,.5728251875343965,R+0.10@@-.1,5,R+
Garin-Hart-Yang/Global Strategy Group,B/C@@8,0.572898841,R+0.02@@-.02,1,R+
DHM Research,B/C@@8,.5729474878010811,R+0.07@@-.07,14,R+
West Chester University,B/C@@8,.5735661599941877,D+0.08@@.08,7,D+
The Polling Company Inc.,B/C@@8,.5737111513644862,R+0.85@@-.85,7,R+
Manhattanville College,B/C@@8,0.575016016,R+0.13@@-.13,3,R+
The Citadel,B/C@@8,.5754920363559316,D+0.30@@.3,3,D+
Franklin Pierce University,B/C@@8,0.575830198,D+0.58@@.58,17,D+
JMC Analytics/Bold Blue Campaigns,B/C@@8,.5779349719292254,R+0.84@@-.84,5,R+
Seven Letter Insight,B/C@@8,.5788276018294816,D+0.12@@.12,1,D+
Baruch College Survey Research,B/C@@8,.5804492990574481,±0.00@@0,2,±
Crantford Research,B/C@@8,0.58227719,D+0.05@@.05,1,D+
Rivercity Polling,B/C@@8,0.58227719,R+0.13@@-.13,1,R+
Victory Research,B/C@@8,.5839602619357528,D+0.26@@.26,11,D+
Lincoln Institute,B/C@@8,.5842077215304722,R+0.08@@-.08,2,R+
Centre College,B/C@@8,.5866383995130073,D+0.12@@.12,1,D+
Florida International University/Univision,B/C@@8,.5904352374501879,D+0.03@@.03,1,D+
Penta,B/C@@8,.5910199581481042,R+0.13@@-.13,1,R+
Becker Institute,B/C@@8,.5947729530719543,D+0.27@@.27,5,D+
War Room Logistics,B/C@@8,.5962440922570569,±0.00@@0,1,±
Zimmerman & Associates/Marketing Intelligence,B/C@@8,.5962979866657118,D+0.15@@.15,3,D+
Cromer Group,B/C@@8,.6026505719570038,R+0.06@@-.06,1,R+
Canisius College,B/C@@8,.6036860050308261,±0.00@@0,1,±
Central Surveys Inc.,B/C@@8,.6036860050308261,D+0.02@@.02,1,D+
Morningside College,B/C@@8,.6044348249278391,±0.00@@0,1,±
OurProgress (The Progress Campaign),F@@16,0.605332728,±0.00@@0,1,±
Wood Communications Group,B/C@@8,.6063395143316589,D+0.02@@.02,1,D+
BIGresearch,B/C@@8,.6064543847500333,R+0.02@@-.02,1,R+
Escalent,B/C@@8,.6090334538846331,R+0.01@@-.01,1,R+
Cooper & Secrest,B/C@@8,.6090334538846331,R+0.03@@-.03,1,R+
Minneapolis Star Tribune,B/C@@8,0.610155111,D+0.62@@.62,14,D+
Analytical Group,B/C@@8,.6117513372596594,D+0.04@@.04,1,D+
Rossman Group,B/C@@8,.6131619150587514,D+0.08@@.08,1,D+
Dynamics Marketing,B/C@@8,.6136734800718847,D+0.03@@.03,1,D+
Vox Populi Communications,B/C@@8,.6136734800718847,±0.00@@0,1,±
Diversified Research Inc,B/C@@8,.6136734800718847,R+0.05@@-.05,1,R+
QEV Analytics,B/C@@8,.6167169155629852,±0.00@@0,1,±
Southeastern Louisiana University,B/C@@8,.6174263811077061,D+0.07@@.07,8,D+
Wick Communications,B/C@@8,.6175456849236206,D+0.04@@.04,1,D+
"Lauer, Lalley, Victoria",B/C@@8,.6176979238981738,R+0.01@@-.01,1,R+
HighGround Inc.,B/C@@8,.6177298394527642,R+0.09@@-.09,6,R+
CallFire,B/C@@8,.6192010451541849,R+0.34@@-.34,4,R+
Market Trends Pacific,B/C@@8,.6194172001222206,D+0.05@@.05,1,D+
Paradigm,B/C@@8,.6218749840186563,D+0.37@@.37,2,D+
Triumph Campaigns,B/C@@8,.6221348723560491,R+0.12@@-.12,1,R+
Neighborhood Research and Media,B/C@@8,.6226697233373198,R+0.04@@-.04,3,R+
20/20 Insight,B/C@@8,.6245318101310146,D+0.41@@.41,8,D+
Victoria Research & Consulting,B/C@@8,0.627950402,D+0.10@@.1,1,D+
Jorge BenÃ­tez,B/C@@8,.6291376330740794,±0.00@@0,4,±
Strategy Research,B/C@@8,.6305079035016393,R+0.39@@-.39,2,R+
Iona University,B/C@@8,.6313801817508452,D+0.09@@.09,1,D+
ASA Marketing Group,B/C@@8,.6319642826833585,D+0.08@@.08,1,D+
Dartmouth College,B/C@@8,0.632384181,±0.00@@0,3,±
African American Research Collaborative,B/C@@8,0.632749383,D+0.12@@.12,1,D+
TargetSmart,B/C@@8,.6335359308846156,D+0.45@@.45,3,D+
New Mexico State University,B/C@@8,.6337166237810974,±0.00@@0,1,±
Probolsky Research,B/C@@8,.6338302104276158,R+0.53@@-.53,3,R+
NRECA Market Research,B/C@@8,.6341253646230212,D+0.05@@.05,1,D+
Beacon Research,B/C@@8,.6356269027753156,±0.00@@0,5,±
Clarus Research Group,B/C@@8,.6357480808579152,D+0.23@@.23,3,D+
Deltapoll,B/C@@8,.6374732597042888,D+0.24@@.24,1,D+
Old Dominion University,B/C@@8,.6408866370449263,D+0.11@@.11,1,D+
West Virginia Research Center,B/C@@8,.6412198215891711,D+0.12@@.12,2,D+
Dixie Strategies,B/C@@8,.6418733346536867,R+0.90@@-.9,11,R+
Rice University,B/C@@8,.6422602098888417,D+0.13@@.13,2,D+
Alloy Analytics,B/C@@8,.6424322590108127,R+0.21@@-.21,1,R+
Illinois Wesleyan University,B/C@@8,.6432081700151319,R+0.25@@-.25,3,R+
Multi-Quest International,B/C@@8,.6432976661737133,R+0.00@@0,4,R+
Independent Market Research,B/C@@8,.6449170153195891,D+0.09@@.09,2,D+
