,cd,dem_cand,rep_cand,dem_inc_any,rep_inc_any
183,MA-05,Katherine Clark,,True,False
184,MA-06,,Micah Jones,False,False
185,MA-07,Ayanna Pressley,,True,False
186,MA-08,Stephen Lynch,,True,False
187,MA-09,Bill Keating,Tyler MacAllister,True,False
188,MD-01,Dan Schwartz,Andy Harris,False,True
189,MD-02,Johnny Olszewski,Dave Wallace,True,False
190,MD-03,Sarah Elfreth,Berney Flowers,True,False
191,MD-04,Glenn Ivey,George McDermott,True,False
192,MD-05,Adrian Boafo,Chris Chaffee,False,False
193,MD-06,April McClain Delaney,Robin Ficker,True,False
194,MD-07,Kweisi Mfume,Scott Collier,True,False
195,MD-08,Jamie Raskin,Cheryl Riley,True,False
196,ME-01,Chellie Pingree,Ronald Russell,True,False
197,ME-02,Matt Dunlap,Paul LePage,False,False
198,MI-01,Callie Barr,Jack Bergman,False,True
199,MI-02,Ben Ambrose,John Moolenaar,False,True
200,MI-03,Hillary Scholten,Terri DeBoer,True,False
201,MI-04,Sean McCann,Bill Huizenga,False,True
202,MI-05,Christian Vukasovich,Tim Walberg,False,True
203,MI-06,Debbie Dingell,Heather Smiley,True,False
204,MI-07,William Lawrence,Tom Barrett,False,True
205,MI-08,Kristen McDonald Rivet,Thomas Smith,True,False
206,MI-09,Ray Pooley,Lisa McClain,False,True
207,MI-10,Christina Hines,Mike Bouchard,False,False
208,MI-11,Jeremy Moss,Ethan Baker,False,False
209,MI-12,Rashida Tlaib,James Hooper,True,False
210,MI-13,Donovan McKinney,T.P. Nykoriak,False,False
211,MN-01,Jake Johnson,Brad Finstad,False,True
212,MN-02,Matt Little,Eric Pratt,False,False
213,MN-03,Kelly Morrison,Tyler Bass,True,False
214,MN-04,Betty McCollum,Paul Wikstrom,True,False
215,MN-05,Ilhan Omar,John Nagel,True,False
216,MN-06,Doug Chapin,Tom Emmer,False,True
217,MN-07,Erik Osberg,Michelle Fischbach,False,True
218,MN-08,Trina Swanson,Pete Stauber,False,True
219,MO-01,Wesley Bell,Paul Berry,True,False
220,MO-02,Fred Wellman,Ann Wagner,False,True
221,MO-03,Bethany Mann,Bob Onder,False,True
222,MO-04,Jordan Herrera,Mark Alford,False,True
223,MO-05,Emanuel Cleaver,Rick Brattin,True,False
224,MO-06,Josh Smead,Chris Stigall,False,False
225,MO-07,Missi Hesketh,Eric Burlison,False,True
226,MO-08,Chris Reichard,Jason Smith,False,True
227,MS-01,Cliff Johnson,Trent Kelly,False,True
228,MS-02,Bennie Thompson,Ron Eller,True,False
229,MS-03,Michael Chiaradio,Michael Guest,False,True
230,MS-04,Jeffrey Hulum III,Mike Ezell,False,True
231,MT-01,Sam Forstag,Aaron Flint,False,False
232,MT-02,Brian Miller,Troy Downing,False,True
233,NC-01,Don Davis,Laurie Buckhout,True,False
234,NC-02,Deborah Ross,Eugene Douglass,True,False
235,NC-03,Raymond Smith Jr.,Greg Murphy,False,True
236,NC-04,Valerie Foushee,Max Ganorkar,True,False
237,NC-05,Chuck Hubbard,Virginia Foxx,False,True
238,NC-06,Cyril Jefferson,Addison McDowell,False,True
239,NC-07,Kimberly Hardy,David Rouzer,False,True
240,NC-08,Colby Watson,Mark Harris,False,True
241,NC-09,Richard Ojeda,Richard Hudson,False,True
242,NC-10,Ashley Bell,Pat Harrigan,False,True
243,NC-11,Jamie Ager,Jennifer Balkcom,False,False
244,NC-12,Alma Adams,Jack Codiga,True,False
245,NC-13,Paul Barringer,Brad Knott,False,True
246,NC-14,Lakesha Womack,Tim Moore,False,True
247,ND-AL,Trygve Hammer,Julie Fedorchak,False,True
248,NE-01,Chris Backemeyer,Mike Flood,False,True
249,NE-02,Denise Powell,Brinker Harding,False,False
250,NE-03,Becky Stille,Adrian Smith,False,True
251,NH-01,,,False,False
252,NH-02,Maggie Goodlander,Lily Tang Williams,True,False
253,NJ-01,Donald Norcross,Damon Galdo,True,False
254,NJ-02,Zack Mullock,Jeff Van Drew,False,True
255,NJ-03,Herb Conaway,Michael McGuire,True,False
256,NJ-04,Rachel Peace,Chris Smith,False,True
257,NJ-05,Josh Gottheimer,Sean Kirrane,True,False
258,NJ-06,Frank Pallone,Hillary Herzig,True,False
259,NJ-07,Rebecca Bennett,Tom Kean,False,True
260,NJ-08,Rob Menendez,Not Contested,True,False
261,NJ-09,Nellie Pou,Rosie Pino,True,False
262,NJ-10,LaMonica McIver,Carmen Bucco,True,False
263,NJ-11,Analilia Mejia,Joe Hathaway,True,False
264,NJ-12,Adam Hamawy,Gregg Mele,False,False
265,NM-01,Melanie Stansbury,Didi Okpareke,True,False
266,NM-02,Gabe Vasquez,Greg Cunningham,True,False
267,NM-03,Teresa Leger Fernandez,Martin Zamora,True,False
268,NV-01,Dina Titus,Carrie Buck,True,False
269,NV-02,Teresa Benitez-Thompson,David Flippo,False,False
270,NV-03,Susie Lee,Martin O'Donnell,True,False
271,NV-04,Steven Horsford,Cody Whipple,True,False
272,NY-01,Christopher Gallant,Nick LaLota,False,True
273,NY-02,Patrick Halpin,Andrew Garbarino,False,True
274,NY-03,Tom Suozzi,Michael LiPetri,True,False
275,NY-04,Laura Gillen,Jeanine Driscoll,True,False
276,NY-05,Greg Meeks,George Marsh,True,False
277,NY-06,Grace Meng,Joseph Chou,True,False
278,NY-07,Claire Valdez,Melvin Rivera,False,False
279,NY-08,Hakeem Jeffries,Lewis Mizrahi,True,False
280,NY-09,Yvette Clarke,Joel Anabilah-Azumah,True,False
281,NY-10,Brad Lander,Jennifer Moore,False,False
282,NY-11,Michael DeCillis,Nicole Malliotakis,False,True
283,NY-12,Micah Lasher,Caroline Shinkle,False,False
284,NY-13,Darializa Chevalier,Jomo Williams,False,False
285,NY-14,Alexandria Ocasio-Cortez,Diamant Hysenaj,True,False
286,NY-15,Ritchie Torres,Stylo Sapaskis,True,False
287,NY-16,George Latimer,Joseph Cinquemani,True,False
288,NY-17,Cait Conley,Mike Lawler,False,True
289,NY-18,Pat Ryan,Jacqueline Auringer,True,False
290,NY-19,Josh Riley,Pete Oberacker,True,False
291,NY-20,Paul Tonko,Ralph Ambrosio,True,False
292,NY-21,Blake Gendebien,Anthony Constantino,False,False
293,NY-22,John Mannion,Kailee Buller,True,False
294,NY-23,Aaron Gies,Nick Langworthy,False,True
295,NY-24,Alissa Ellman,Claudia Tenney,False,True
296,NY-25,Joseph Morelle,Virginia McIntyre,True,False
297,NY-26,Tim Kennedy,Dennis Hannon,True,False
298,OH-01,Greg Landsman,Eric Conroy,True,False
299,OH-02,Jennifer Mazzuckelli,David Taylor,False,True
300,OH-03,Joyce Beatty,Cleophus Dulaney,True,False
301,OH-04,Joshua Kolasinski,Jim Jordan,False,True
302,OH-05,Brian Shaver,Bob Latta,False,True
303,OH-06,Elizabeth Kirtley,Michael Rulli,False,True
304,OH-07,Brian Poindexter,Max Miller,False,True
305,OH-08,Vanessa Enoch,Warren Davidson,False,True
306,OH-09,Marcy Kaptur,Derek Merrin,True,False
307,OH-10,Kristina Knickerbocker,Mike Turner,False,True
308,OH-11,Shontel Brown,Mike Kirchner,True,False
309,OH-12,Jerrad Christian,Troy Balderson,False,True
310,OH-13,Emilia Sykes,Carey Coleman,True,False
311,OH-14,Maria Jukic,David Joyce,False,True
312,OH-15,Don Leonard,Mike Carey,False,True
313,OK-01,John Croisant,Mark Tedford,False,False
314,OK-02,Brandon Wade,Josh Brecheen,False,True
315,OK-03,Suzie Byrd,Frank Lucas,False,True
316,OK-04,Mitchell Jacob,Tom Cole,False,True
317,OK-05,Jena Nelson,Stephanie Bice,False,True
318,OR-01,Suzanne Bonamici,Barbara Kahl,True,False
319,OR-02,Chris Beck,Cliff Bentz,False,True
320,OR-03,Maxine Dexter,Loran Ayles,True,False
321,OR-04,Val Hoyle,Monique DeSpain,True,False
322,OR-05,Janelle Bynum,Patti Adair,True,False
323,OR-06,Andrea Salinas,David Russ,True,False
324,PA-01,Bob Harvie,Brian Fitzpatrick,False,True
325,PA-02,Brendan Boyle,Jessica Arriaga,True,False
326,PA-03,Chris Rabb,Not Contested,False,False
327,PA-04,Madeleine Dean,Aurora Stuski,True,False
328,PA-05,Mary Gay Scanlon,Nicholas Manganaro,True,False
329,PA-06,Chrissy Houlahan,Marty Young,True,False
330,PA-07,Bob Brooks,Ryan Mackenzie,False,True
331,PA-08,Paige Cognetti,Rob Bresnahan,False,True
332,PA-09,Rachel Wallace,Dan Meuser,False,True
333,PA-10,Janelle Stelson,Scott Perry,False,True
334,PA-11,Nancy Mannion,Lloyd Smucker,False,True
335,PA-12,Summer Lee,James Hayes,True,False
336,PA-13,Beth Farnham,John Joyce,False,True
337,PA-14,Alan Bradstock,Guy Reschenthaler,False,True
338,PA-15,Ray Bilger,Glenn Thompson,False,True
339,PA-16,Justin Wagner,Mike Kelly,False,True
340,PA-17,Chris Deluzio,Tony Guy,True,False
341,RI-01,Gabe Amo,Kellie Keenan,True,False
342,RI-02,Seth Magaziner,,True,False
343,SC-01,Nancy Lacore,Jenny Costa Honeycutt,False,False
344,SC-02,Zyon Khalifa,Joe Wilson,False,True
345,SC-03,Eunice Lehmacher,Sheri Biggs,False,True
346,SC-04,Courtney McClain,William Timmons,False,True
347,SC-05,Mallory Dittmer,Wes Climer,False,False
348,SC-06,Jim Clyburn,John Peterson,True,False
349,SC-07,John Vincent,Russell Fry,False,True
350,SD-AL,Nikki Gronli,Marty Jackley,False,False
351,TN-01,Kristi Burke,Diana Harshbarger,False,True
352,TN-02,Michaela Barnett,Tim Burchett,False,True
353,TN-03,Anna Golladay,Chuck Fleischmann,False,True
354,TN-04,Victoria Broderick,Scott DesJarlais,False,True
355,TN-05,Chaz Molder,Charlie Hatcher,False,False
356,TN-06,Mike Croley,Johnny Garrett,False,False
357,TN-07,Darden Copeland,Matt Van Epps,False,True
358,TN-08,Heidi Kuhn,David Kustoff,False,True
359,TN-09,Justin Pearson,Brent Taylor,False,False
360,TX-01,Yolanda Prince,Nathaniel Moran,False,True
361,TX-02,Shaun Finnie,Steve Toth,False,False
362,TX-03,Evan Hunt,Keith Self,False,True
363,TX-04,Jason Pearce,Pat Fallon,False,True
364,TX-05,Chelsey Hockett,Lance Gooden,False,True
365,TX-06,Danny Minton,Jake Ellzey,False,True
366,TX-07,Lizzie Fletcher,Alexander Hale,True,False
367,TX-08,Laura Jones,Jessica Hart Steinmann,False,False
368,TX-09,Leticia Gutierrez,Alex Mealer,False,False
369,TX-10,Caitlin Rourk,Chris Gober,False,False
370,TX-11,Claire Reynolds,August Pfluger,False,True
371,TX-12,Angela Rodriguez,Craig Goldman,False,True
372,TX-13,Mark Nair,Ronny Jackson,False,True
373,TX-14,Thurman Bartie,Randy Weber,False,True
374,TX-15,Bobby Pulido,Monica De La Cruz,False,True
375,TX-16,Veronica Escobar,Adam Bauman,True,False
376,TX-17,Casey Shepard,Pete Sessions,False,True
377,TX-18,Christian Menefee,Ronald Whitfield,True,False
378,TX-19,Kyle Rable,Tom Sell,False,False
379,TX-20,Joaquin Castro,Edgardo Rafael Baez,True,False
380,TX-21,Kristin Hook,Mark Teixeira,False,False
381,TX-22,Marquette Greene-Scott,Trever Nehls,False,False
382,TX-23,Katy Padilla Stout,Brandon Herrera,False,False
383,TX-24,Kevin Burge,Beth Van Duyne,False,True
384,TX-25,Dione Sims,Roger Williams,False,True
385,TX-26,Steven Shook,Brandon Gill,False,True
386,TX-27,Tanya Lloyd,Michael Cloud,False,True
387,TX-28,Henry Cuellar,Tano Tijerina,True,False
388,TX-29,Sylvia Garcia,Martha Fierro,True,False
389,TX-30,Frederick Haynes III,Everett Jackson,False,False
390,TX-31,Justin Early,John Carter,False,True
391,TX-32,Dan Barros,Jace Yarbrough,False,False
392,TX-33,Colin Allred,Patrick Gillespie,True,False
393,TX-34,Vicente Gonzalez,Eric Flores,True,False
394,TX-35,Johnny Garcia,Carlos De La Cruz,False,False
395,TX-36,Rhonda Hart,Brian Babin,False,True
396,TX-37,Greg Casar,Lauren Peña,True,False
397,TX-38,Melissa McDonough,Jon Bonck,False,False
398,UT-01,Ben McAdams,Riley Owen,False,False
399,UT-02,Peter Crosby,Blake Moore,False,True
400,UT-03,Kent Udell,Celeste Maloy,False,True
401,UT-04,Jonny Larsen,Mike Kennedy,False,True
402,VA-01,Shannon Taylor,Rob Wittman,False,True
403,VA-02,Elaine Luria,Jen Kiggans,False,True
404,VA-03,Bobby Scott,Edwin Rivera,True,False
405,VA-04,Jennifer McClellan,Robert Murray,True,False
406,VA-05,Tom Perriello,John McGuire,False,True
407,VA-06,Beth Macy,Ben Cline,False,True
408,VA-07,Eugene Vindman,Doug Ollivant,True,False
409,VA-08,Don Beyer,Tony Sabio,True,False
410,VA-09,Joy Powers,Morgan Griffith,False,True
411,VA-10,Suhas Subramanyam,Dave Beckwith,True,False
412,VA-11,James Walkinshaw,Arthur Purves,True,False
413,VT-AL,Becca Balint,Mark Coester,True,False
414,WA-01,Suzan DelBene,Mary Silva,True,False
415,WA-02,Rick Larsen,Edwin Feller,True,False
416,WA-03,Marie Gluesenkamp Perez,John Braun,True,False
417,WA-04,John Duresky,Amanda McKinney,False,False
418,WA-05,Carmela Conroy,Michael Baumgartner,False,True
419,WA-06,Emily Randall,Teresa Fox,True,False
420,WA-07,Pramila Jayapal,Nirav Sheth,True,False
421,WA-08,Kim Schrier,Spencer Meline,True,False
422,WA-09,Adam Smith,Doug Basler,True,False
423,WA-10,Marilyn Strickland,Chris Chung,True,False
424,WI-01,Mitchell Berman,Bryan Steil,False,True
425,WI-02,Mark Pocan,Not Contested,True,False
426,WI-03,Rebecca Cooke,Derrick Van Orden,False,True
427,WI-04,Gwen Moore,Tim Rogers,True,False
428,WI-05,Andrew Beck,Scott Fitzgerald,False,True
429,WI-06,Brad Smith,Glenn Grothman,False,True
430,WI-07,Fred Clark,Michael Alfonso,False,False
431,WI-08,Rick Crosson,Tony Wied,False,True
432,WV-01,Vince George,Carol Miller,False,True
433,WV-02,Ace Parsi,Riley Moore,False,True
434,WY-AL,Lisa Kinney,Chuck Gray,False,False
