,poll_id_nate,question_id_538,race,year,location,type_simple,type_detail,pollster,pollster_rating_id,partisan,polldate,samplesize,cand1_name,cand1_party,cand1_pct,cand2_name,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,advancedplusminus,comment,rv,all_adu,sponsor,population,v
32,5911,17901.0,2012_Pres-R_FL,2012,FL,Pres-P,Pres-R,Rasmussen Reports,277,,2012-01-11,750.0,Mitt Romney,REP,41.0,Newt Gingrich,REP,19.0,15.0,22.0,2012-01-31,46.4,31.93,14.47,7.53,,1.0,-0.795515415976862,,False,False,,LV,False
33,5881,17907.0,2012_Pres-R_SC,2012,SC,Pres-P,Pres-R,InsiderAdvantage,243,,2012-01-11,726.0,Newt Gingrich,REP,21.3,Mitt Romney,REP,23.1,13.5,-1.8,2012-01-21,40.42,27.85,12.57,14.37,,0.0,-0.624720583344141,for Augusta Chronicle | Savannah Morning News,False,False,Augusta Chronicle | Savannah Morning News,LV,False
34,11487,,2024_Pres-R_IA,2024,IA,Pres-P,Pres-R,InsiderAdvantage,243,,2024-01-11,850.0,Donald Trump,REP,51.0,Ron DeSantis,REP,17.0,17.0,34.0,2024-01-15,51.0,21.3,29.7,4.3,,1.0,-2.19194611786791,,False,False,,LV,False
35,286,117764.0,2000_Pres-D_IA,2000,IA,Pres-P,Pres-D,Personal Marketing Research,252,,2000-01-12,500.0,Al Gore,DEM,57.0,Bill Bradley,DEM,31.0,,26.0,2000-01-24,63.2,36.8,26.4,0.4,,1.0,-5.83262884225771,,False,False,,LV,False
36,297,116950.0,2000_Pres-R_IA,2000,IA,Pres-P,Pres-R,Personal Marketing Research,252,,2000-01-12,500.0,George W. Bush,REP,43.0,Steve Forbes,REP,18.0,,25.0,2000-01-24,41.01,30.51,10.5,14.5,,1.0,2.52332194885877,,False,False,,LV,False
37,3435,3572.0,2008_Pres-D_FL,2008,FL,Pres-P,Pres-D,Strategic Vision LLC,320,,2008-01-12,600.0,Hillary Rodham Clinton,DEM,45.0,Barack Obama,DEM,39.0,11.0,6.0,2008-01-29,49.77,32.93,16.84,10.84,,1.0,1.96989732663164,,False,False,,LV,False
38,3436,3569.0,2008_Pres-D_FL,2008,FL,Pres-P,Pres-D,SurveyUSA,325,,2008-01-12,601.0,Hillary Rodham Clinton,DEM,56.0,Barack Obama,DEM,23.0,14.0,33.0,2008-01-29,49.77,32.93,16.84,16.16,,1.0,7.77305212014459,,False,False,,LV,False
39,3388,3610.0,2008_Pres-D_NV,2008,NV,Pres-P,Pres-D,American Research Group,9,,2008-01-12,600.0,Hillary Rodham Clinton,DEM,35.0,Barack Obama,DEM,32.0,25.0,3.0,2008-01-19,50.99,45.24,5.75,2.75,,1.0,-2.27499559887869,,False,False,,LV,False
40,3389,3565.0,2008_Pres-D_NV,2008,NV,Pres-P,Pres-D,Research 2000,281,,2008-01-12,500.0,Hillary Rodham Clinton,DEM,30.0,Barack Obama,DEM,32.0,27.0,-2.0,2008-01-19,50.99,45.24,5.75,7.75,,0.0,3.61895943712534,,False,False,,LV,False
41,3411,3567.0,2008_Pres-D_SC,2008,SC,Pres-P,Pres-D,Public Policy Polling,263,,2008-01-12,510.0,Barack Obama,DEM,44.0,Hillary Rodham Clinton,DEM,31.0,16.0,13.0,2008-01-26,55.42,26.49,28.93,15.93,,1.0,-0.312012872879877,,False,False,,LV,False
42,3462,3574.0,2008_Pres-R_FL,2008,FL,Pres-P,Pres-R,Strategic Vision LLC,320,,2008-01-12,600.0,John McCain,REP,27.0,Mitt Romney,REP,17.0,18.0,10.0,2008-01-29,36.0,31.03,4.97,5.03,,1.0,-1.96246909334403,,False,False,,LV,False
43,3463,3573.0,2008_Pres-R_FL,2008,FL,Pres-P,Pres-R,SurveyUSA,325,,2008-01-12,542.0,John McCain,REP,25.0,Mitt Romney,REP,18.0,23.0,7.0,2008-01-29,36.0,31.03,4.97,2.03,,1.0,-5.06724124334613,,False,False,,LV,False
44,3392,3606.0,2008_Pres-R_NV,2008,NV,Pres-P,Pres-R,American Research Group,9,,2008-01-12,600.0,Mitt Romney,REP,28.0,Ron Paul,REP,9.0,21.0,19.0,2008-01-19,51.1,13.73,37.37,18.37,,1.0,7.292458466808,,False,False,,LV,False
45,3393,3563.0,2008_Pres-R_NV,2008,NV,Pres-P,Pres-R,Research 2000,281,,2008-01-12,500.0,Mitt Romney,REP,15.0,Ron Paul,REP,6.0,22.0,9.0,2008-01-19,51.1,13.73,37.37,28.37,,0.0,19.8716793537003,,False,False,,LV,False
46,3395,3594.0,2008_Pres-R_SC,2008,SC,Pres-P,Pres-R,Clemson University,54,,2008-01-12,450.0,John McCain,REP,29.0,Mike Huckabee,REP,22.0,10.0,7.0,2008-01-19,33.15,29.84,3.31,3.69,,1.0,-1.30819854504882,,False,False,,LV,False
47,3396,3564.0,2008_Pres-R_SC,2008,SC,Pres-P,Pres-R,Public Policy Polling,263,,2008-01-12,1272.0,John McCain,REP,28.0,Mike Huckabee,REP,21.0,14.0,7.0,2008-01-19,33.15,29.84,3.31,3.69,,1.0,-0.171155443375968,,False,False,,LV,False
48,5013,117499.0,2010_Sen-GS_MA,2010,MA,Sen-G,Sen-GS,Suffolk University,323,,2010-01-12,500.0,Martha Coakley,DEM,46.0,Scott Brown,REP,50.0,3.0,-4.0,2010-01-19,47.12,51.89,-4.77,0.77,0.77,1.0,-6.85462275517972,for 7News,False,False,7News,LV,False
49,5910,82840.0,2012_House-GS_OR-1,2012,OR-1,House-G,House-GS,Moore Information Group,217,R,2012-01-12,300.0,Suzanne Bonamici,DEM,46.0,Robert Y. Cornilles,REP,42.0,,4.0,2012-01-31,53.95,39.67,14.28,10.28,-10.28,1.0,2.15377841330043,for Robert Y. Cornilles,False,False,Robert Y. Cornilles,LV,False
50,5882,17908.0,2012_Pres-R_SC,2012,SC,Pres-P,Pres-R,American Research Group,9,,2012-01-12,600.0,Newt Gingrich,REP,25.0,Mitt Romney,REP,29.0,7.0,-4.0,2012-01-21,40.42,27.85,12.57,16.57,,0.0,0.720267146203049,,False,False,,LV,False
51,5883,17926.0,2012_Pres-R_SC,2012,SC,Pres-P,Pres-R,Ipsos,154,,2012-01-12,398.0,Newt Gingrich,REP,12.0,Mitt Romney,REP,37.0,16.0,-25.0,2012-01-21,40.42,27.85,12.57,37.57,,0.0,23.1084013434784,for Reuters; among registered voters,True,False,Reuters,RV,False
52,5884,17924.0,2012_Pres-R_SC,2012,SC,Pres-P,Pres-R,New Frontier Strategy,229,,2012-01-12,810.0,Newt Gingrich,REP,23.0,Mitt Romney,REP,32.0,14.0,-9.0,2012-01-21,40.42,27.85,12.57,21.57,,0.0,6.79448196160923,,False,False,,LV,False
53,5885,17920.0,2012_Pres-R_SC,2012,SC,Pres-P,Pres-R,Public Policy Polling,263,,2012-01-12,803.0,Newt Gingrich,REP,24.0,Mitt Romney,REP,29.0,14.0,-5.0,2012-01-21,40.42,27.85,12.57,17.57,,0.0,1.73863703335314,,False,False,,LV,False
54,5886,17909.0,2012_Pres-R_SC,2012,SC,Pres-P,Pres-R,Rasmussen Reports,277,,2012-01-12,750.0,Newt Gingrich,REP,21.0,Mitt Romney,REP,28.0,16.0,-7.0,2012-01-21,40.42,27.85,12.57,19.57,,0.0,5.04479675080613,,False,False,,LV,False
55,7635,48177.0,2016_Pres-D_IA,2016,IA,Pres-P,Pres-D,Gravis Marketing/Kaplan Strategies,124,R,2016-01-12,461.0,Hillary Rodham Clinton,DEM,57.0,Bernard Sanders,DEM,36.0,7.0,21.0,2016-02-01,49.85,49.6,0.25,20.75,,1.0,12.6372825684629,for unspecified Republican sponsor,False,False,unspecified Republican sponsor,LV,False
56,7653,48176.0,2016_Pres-R_IA,2016,IA,Pres-P,Pres-R,Gravis Marketing/Kaplan Strategies,124,R,2016-01-12,422.0,Ted Cruz,REP,28.0,Donald Trump,REP,34.0,5.0,-6.0,2016-02-01,27.66,24.32,3.34,9.34,,0.0,-1.07611165308789,for unspecified Republican sponsor,False,False,unspecified Republican sponsor,LV,False
57,11488,,2024_Pres-R_IA,2024,IA,Pres-P,Pres-R,Emerson College,88,,2024-01-12,532.0,Donald Trump,REP,56.5,Ron DeSantis,REP,14.8,21.4,41.7,2024-01-15,51.0,21.3,29.7,12.0,,1.0,5.97600593934934,,False,False,,LV,False
58,1672,15847.0,2004_Pres-D_IA,2004,IA,Pres-P,Pres-D,Research 2000,281,,2004-01-13,607.0,John Kerry,DEM,21.0,John Edwards,DEM,18.0,22.0,3.0,2004-01-19,37.33,32.79,4.54,1.54,,0.0,-1.77648554097884,,False,False,,LV,False
59,3379,3555.0,2008_Pres-D_MI,2008,MI,Pres-P,Pres-D,American Research Group,9,,2008-01-13,600.0,Hillary Rodham Clinton,DEM,56.0,Dennis J. Kucinich,DEM,3.0,,53.0,2008-01-15,92.16,6.1,86.06,33.06,,1.0,17.7773642268869,,False,False,,LV,False
60,3412,3554.0,2008_Pres-D_SC,2008,SC,Pres-P,Pres-D,Rasmussen Reports,277,,2008-01-13,516.0,Barack Obama,DEM,38.0,Hillary Rodham Clinton,DEM,33.0,17.0,5.0,2008-01-26,55.42,26.49,28.93,23.93,,1.0,8.40210397388009,,False,False,,LV,False
61,3384,3557.0,2008_Pres-R_MI,2008,MI,Pres-P,Pres-R,American Research Group,9,,2008-01-13,600.0,Mitt Romney,REP,30.0,John McCain,REP,31.0,19.0,-1.0,2008-01-15,39.75,30.31,9.44,10.44,,0.0,4.80119100724853,,False,False,,LV,False
62,3385,3556.0,2008_Pres-R_MI,2008,MI,Pres-P,Pres-R,Mitchell Research & Communications,213,,2008-01-13,589.0,Mitt Romney,REP,35.0,John McCain,REP,29.0,12.0,6.0,2008-01-15,39.75,30.31,9.44,3.44,,1.0,-3.78931141350558,,False,False,,LV,False
63,3386,3550.0,2008_Pres-R_MI,2008,MI,Pres-P,Pres-R,Zogby Analytics,395,,2008-01-13,824.0,Mitt Romney,REP,26.0,John McCain,REP,27.0,15.0,-1.0,2008-01-15,39.75,30.31,9.44,10.44,,0.0,4.78005175595246,,False,False,,LV,False
64,3397,3553.0,2008_Pres-R_SC,2008,SC,Pres-P,Pres-R,Rasmussen Reports,277,,2008-01-13,911.0,John McCain,REP,28.0,Mike Huckabee,REP,19.0,16.0,9.0,2008-01-19,33.15,29.84,3.31,5.69,,1.0,1.65656720009398,,False,False,,LV,False
65,5014,117082.0,2010_Sen-GS_MA,2010,MA,Sen-G,Sen-GS,American Research Group,9,,2010-01-13,600.0,Martha Coakley,DEM,45.0,Scott Brown,REP,48.0,2.0,-3.0,2010-01-19,47.12,51.89,-4.77,1.77,1.77,1.0,-5.69690288761067,,False,False,,LV,False
66,5015,117484.0,2010_Sen-GS_MA,2010,MA,Sen-G,Sen-GS,Research 2000,281,D,2010-01-13,500.0,Martha Coakley,DEM,49.0,Scott Brown,REP,41.0,5.0,8.0,2010-01-19,47.12,51.89,-4.77,12.77,12.77,0.0,5.90524499630581,for unspecified Democratic sponsor,False,False,unspecified Democratic sponsor,LV,False
67,5912,151423.0,2012_Pres-R_FL,2012,FL,Pres-P,Pres-R,Susquehanna Polling & Research Inc.,326,,2012-01-13,1266.0,Mitt Romney,REP,45.0,Newt Gingrich,REP,20.0,12.0,25.0,2012-01-31,46.4,31.93,14.47,10.53,,1.0,2.57500291056113,for Sunshine State News; average of multiple versions or turnout models listed in poll,False,False,Sunshine State News,LV,False
68,11489,,2024_Pres-R_IA,2024,IA,Pres-P,Pres-R,Trafalgar Group,338,,2024-01-13,1092.0,Donald Trump,REP,52.1,Ron DeSantis,REP,19.3,18.5,32.8,2024-01-15,51.0,21.3,29.7,3.1,,1.0,-3.15130725486969, but it looks like Trafalgar Group methodology,False,False,,LV,False
69,287,15903.0,2000_Pres-D_IA,2000,IA,Pres-P,Pres-D,Los Angeles Times,172,,2000-01-14,571.0,Al Gore,DEM,58.0,Bill Bradley,DEM,35.0,,23.0,2000-01-24,63.2,36.8,26.4,3.4,,1.0,-2.31034867398912,,False,False,,LV,False
70,298,15904.0,2000_Pres-R_IA,2000,IA,Pres-P,Pres-R,Los Angeles Times,172,,2000-01-14,557.0,George W. Bush,REP,43.0,Steve Forbes,REP,25.0,10.0,18.0,2000-01-24,41.01,30.51,10.5,7.5,,1.0,-4.89500121639411,,False,False,,LV,False
71,1673,103116.0,2004_Pres-D_IA,2004,IA,Pres-P,Pres-D,SurveyUSA,325,,2004-01-14,428.0,John Kerry,DEM,21.0,John Edwards,DEM,22.0,24.0,-1.0,2004-01-19,37.33,32.79,4.54,5.54,,0.0,1.86714889373016,,False,False,,LV,False
72,1674,7191.0,2004_Pres-D_IA,2004,IA,Pres-P,Pres-D,Zogby Analytics,395,,2004-01-14,501.0,John Kerry,DEM,24.0,John Edwards,DEM,17.0,19.0,7.0,2004-01-19,37.33,32.79,4.54,2.46,,1.0,-1.40485667580376,,False,False,,LV,False
73,3398,3552.0,2008_Pres-R_SC,2008,SC,Pres-P,Pres-R,Zogby Analytics,395,,2008-01-14,813.0,John McCain,REP,29.0,Mike Huckabee,REP,23.0,12.0,6.0,2008-01-19,33.15,29.84,3.31,2.69,,1.0,-1.39550548533409,,False,False,,LV,False
74,5016,117090.0,2010_Sen-GS_MA,2010,MA,Sen-G,Sen-GS,CrossTarget,66,,2010-01-14,946.0,Martha Coakley,DEM,38.5,Scott Brown,REP,53.9,,-15.4,2010-01-19,47.12,51.89,-4.77,10.63,-10.63,1.0,4.81131489083518,,False,False,,LV,False
75,5913,17932.0,2012_Pres-R_FL,2012,FL,Pres-P,Pres-R,American Research Group,9,,2012-01-14,600.0,Mitt Romney,REP,42.0,Newt Gingrich,REP,25.0,9.0,17.0,2012-01-31,46.4,31.93,14.47,2.53,,1.0,-6.39775167681908,,False,False,,LV,False
76,5887,17955.0,2012_Pres-R_SC,2012,SC,Pres-P,Pres-R,Monmouth University,215,,2012-01-14,963.0,Newt Gingrich,REP,22.0,Mitt Romney,REP,33.0,14.0,-11.0,2012-01-21,40.42,27.85,12.57,23.57,,0.0,9.53765925297473,,False,False,,LV,False
77,7636,48769.0,2016_Pres-D_IA,2016,IA,Pres-P,Pres-D,Iowa State University,153,,2016-01-14,356.0,Hillary Rodham Clinton,DEM,47.4,Bernard Sanders,DEM,45.0,1.0,2.4,2016-02-01,49.85,49.6,0.25,2.15,,1.0,-7.29224957975399,for WHO-HD,False,False,WHO-HD,LV,False
78,7654,48767.0,2016_Pres-R_IA,2016,IA,Pres-P,Pres-R,Iowa State University,153,,2016-01-14,283.0,Ted Cruz,REP,25.8,Donald Trump,REP,18.9,12.3,6.9,2016-02-01,27.66,24.32,3.34,3.56,,1.0,-6.73924044204809,for WHO-HD,False,False,WHO-HD,LV,False
79,1675,15849.0,2004_Pres-D_IA,2004,IA,Pres-P,Pres-D,Selzer,304,,2004-01-15,606.0,John Kerry,DEM,26.0,John Edwards,DEM,23.0,20.0,3.0,2004-01-19,37.33,32.79,4.54,1.54,,1.0,-1.76086664749137,,False,False,,LV,False
80,3437,3544.0,2008_Pres-D_FL,2008,FL,Pres-P,Pres-D,Research 2000,281,,2008-01-15,500.0,Hillary Rodham Clinton,DEM,50.0,Barack Obama,DEM,28.0,13.0,22.0,2008-01-29,49.77,32.93,16.84,5.16,,1.0,-3.43268446845489,,False,False,,LV,False
81,3561,3516.0,2008_Pres-D_NJ,2008,NJ,Pres-P,Pres-D,Rasmussen Reports,277,,2008-01-15,866.0,Hillary Rodham Clinton,DEM,45.0,Barack Obama,DEM,27.0,11.0,18.0,2008-02-05,53.76,43.93,9.83,8.17,,1.0,1.79253025813733,,False,False,,LV,False
82,3390,3543.0,2008_Pres-D_NV,2008,NV,Pres-P,Pres-D,Mason-Dixon Polling & Strategy,197,,2008-01-15,500.0,Hillary Rodham Clinton,DEM,41.0,Barack Obama,DEM,32.0,14.0,9.0,2008-01-19,50.99,45.24,5.75,3.25,,1.0,-1.28662895320224,,False,False,,LV,False
83,3413,3536.0,2008_Pres-D_SC,2008,SC,Pres-P,Pres-D,InsiderAdvantage,243,,2008-01-15,400.0,Barack Obama,DEM,40.6,Hillary Rodham Clinton,DEM,30.7,13.3,9.9,2008-01-26,55.42,26.49,28.93,19.03,,1.0,3.43100838579794,,False,False,,LV,False
84,3414,3538.0,2008_Pres-D_SC,2008,SC,Pres-P,Pres-D,Mason-Dixon Polling & Strategy,197,,2008-01-15,400.0,Barack Obama,DEM,40.0,Hillary Rodham Clinton,DEM,31.0,13.0,9.0,2008-01-26,55.42,26.49,28.93,19.93,,1.0,4.56903909842312,,False,False,,LV,False
85,3464,3546.0,2008_Pres-R_FL,2008,FL,Pres-P,Pres-R,Research 2000,281,,2008-01-15,500.0,John McCain,REP,26.0,Mitt Romney,REP,16.0,22.0,10.0,2008-01-29,36.0,31.03,4.97,5.03,,1.0,-1.53358444790881,,False,False,,LV,False
86,3394,3541.0,2008_Pres-R_NV,2008,NV,Pres-P,Pres-R,Mason-Dixon Polling & Strategy,197,,2008-01-15,500.0,Mitt Romney,REP,34.0,Ron Paul,REP,7.0,19.0,27.0,2008-01-19,51.1,13.73,37.37,10.37,,1.0,-1.41632157996488,,False,False,,LV,False
87,3399,3545.0,2008_Pres-R_SC,2008,SC,Pres-P,Pres-R,Mason-Dixon Polling & Strategy,197,,2008-01-15,400.0,John McCain,REP,27.0,Mike Huckabee,REP,25.0,13.0,2.0,2008-01-19,33.15,29.84,3.31,1.31,,1.0,-3.55043249984785,,False,False,,LV,False
